# generation best_length mean_best_half
203 89.5937832218 95.2696287264
204 89.5937832218 94.5114710948
205 89.5937832218 94.6071059641
206 89.2143459588 94.8628942082
207 89.0099348320 94.5504326273
208 87.9008688736 94.4916825623
209 87.9008688736 94.1643903657
210 87.9008688736 93.7684002172
211 87.9008688736 93.4927406400
212 87.9008688736 92.9517895668
213 87.5961640936 92.3910944430
214 87.5703846041 92.1043216561
215 87.0646183479 92.4197226910
216 87.0646183479 92.4493190018
217 87.0646183479 91.9989060075
218 87.0646183479 92.2047695476
219 87.0646183479 91.8195270808
220 86.8306751795 91.1751846110
221 86.3562706392 91.3307836711
222 86.3562706392 91.7534420691
223 85.8852523949 91.3790443002
224 85.6513092266 91.3621460394
225 85.6513092266 90.7797475667
226 84.8176177859 90.7840951092
227 84.8176177859 90.9787098999
228 84.8176177859 89.8733724802
229 84.7050047784 89.3883154134
230 83.9729537118 89.9928742781
231 83.9729537118 89.8881440131
232 83.9729537118 91.7465380044
233 83.4630212576 93.1003566286
234 83.4630212576 93.4825525691
235 83.4630212576 95.0185721803
236 83.4630212576 93.8283665389
237 83.4630212576 91.4978198575
238 83.4630212576 89.4000563562
239 83.4630212576 88.6484632988
240 83.4630212576 88.4838629543
241 83.4630212576 88.3718601346
242 83.4630212576 87.3880522734
243 83.4630212576 86.6647379417
244 83.4630212576 86.2811954108
245 83.4630212576 86.6535284828
246 83.4630212576 86.4656202052
247 83.1088144741 86.0878242855
248 83.1088144741 86.1084064057
249 83.1088144741 86.4840524693
250 83.1088144741 85.8937136653
251 82.8392445551 85.6138225831
252 82.8392445551 85.5998263275
253 82.3593071012 86.3245873970
254 81.9934658164 86.3774942371
255 81.9934658164 86.1058110257
256 81.9934658164 86.0219507400
257 81.7838648273 85.8989478052
258 81.4180235425 85.0603843373
259 81.4180235425 85.8856790635
260 80.3870250684 86.1559131083
261 80.3870250684 86.0557305394
262 80.3870250684 87.1971294473
263 80.3870250684 87.8468781365
264 80.3870250684 88.3527092603
265 80.3870250684 89.6309030073
266 80.3870250684 91.4785765481
267 80.3870250684 92.0043992203
268 80.3870250684 91.2650694333
269 80.3870250684 91.4283184673
270 80.3870250684 90.4360120257
271 79.4877583405 88.1447533666
272 79.4877583405 85.2410659890
273 79.4877583405 85.2568582318
274 79.4877583405 84.6182482853
275 79.4877583405 83.4898381118
276 79.4877583405 82.7286238046
277 79.3542159648 82.7576150174
278 79.1637372901 82.6146898121
279 78.8289303180 82.3903506468
280 78.8289303180 82.5479293576
281 78.5049092677 81.9234291574
282 78.2275079478 81.5811881462
283 78.2275079478 81.4475651136
284 78.2275079478 81.6236843785
285 78.2275079478 81.3870960334
286 78.2275079478 81.4105750089
287 78.2275079478 81.5248820796
288 77.6520656739 81.1840827932
289 77.6520656739 80.7605120780
290 77.6520656739 80.9862073131
291 77.5189764535 80.3881279103
292 77.5189764535 80.6922349254
293 77.5189764535 80.7717922770
294 77.5189764535 80.4420415160
295 77.3503698715 80.5944790110
296 77.3503698715 80.7542891528
297 77.0638555675 80.5473126019
298 76.8952489855 80.5739649656
299 76.8089508284 80.2343232746
300 73.3672075912 80.3509115956
301 73.3672075912 80.7505043322
302 73.3672075912 81.3665583686
303 73.3672075912 82.8120886897
304 73.3672075912 83.7097458127
305 73.3672075912 84.8531089769
306 73.3672075912 85.0086137063
307 73.3672075912 84.2859953874
308 73.3672075912 83.9687055786
309 73.3672075912 82.2358669467
310 73.3672075912 80.5749349756
311 73.3672075912 81.0394852530
312 73.2383138421 78.9140235213
313 73.0121501859 77.8092596380
314 72.9652284497 78.1544844956
315 72.9652284497 78.4341338844
316 72.9652284497 80.1795756758
317 72.8832564368 81.4746599977
318 72.7326702954 81.1224284891
319 72.7326702954 81.5381113804
320 72.7326702954 81.5727624499
321 72.7326702954 82.5802137391
322 72.2487191409 83.8239351820
323 72.2487191409 83.7747996011
324 72.2487191409 84.0110734753
325 72.2487191409 84.6683055948
326 70.7124869459 83.9888911692
327 70.7124869459 82.2677924292
328 70.7124869459 82.9195708598
329 70.3902886528 81.9274577974
330 70.2193007199 79.6229726836
331 70.2193007199 77.2377463773
332 70.2193007199 75.4567014028
333 70.1761367600 74.3876278726
334 69.8539384668 74.2661059291
335 69.8539384668 74.5210367273
336 69.8539384668 73.8045755533
337 69.8539384668 73.8973473147
338 69.8539384668 73.3668525225
339 69.8539384668 73.8932277672
340 69.8539384668 73.4016945288
341 69.8539384668 73.2916277462
342 69.6742546118 73.1409605196
343 69.6742546118 73.3305633139
344 69.6742546118 73.2338141287
345 69.6742546118 72.9364459801
346 69.6742546118 72.6603227915
347 69.6742546118 72.4223618071
348 69.6742546118 72.6040075651
349 69.6742546118 73.0626912757
350 69.0928386424 73.0189061403
351 69.0928386424 73.0307297594
352 68.9025616450 72.4822712086
353 68.2512248306 73.0632773960
354 68.2512248306 73.3724998211
