# generation best_length mean_best_half
202 95.6602472939 99.8796582545
203 95.4399030857 99.8067181600
204 95.4399030857 99.3704389637
205 95.0992438810 99.5581447289
206 95.0317071766 99.9150654656
207 94.7296135442 99.2364621421
208 94.3889543395 99.3228276549
209 94.3889543395 99.1408441962
210 94.3628618506 98.7632860729
211 93.8132583527 98.3668494507
212 93.8132583527 98.3829567912
213 93.5615085142 97.7690338731
214 92.9858125274 97.6687132029
215 92.9858125274 97.7779777601
216 92.7592371230 97.2824206875
217 92.7592371230 96.2716832823
218 92.7592371230 95.7804905917
219 92.7592371230 95.2567100924
220 92.7592371230 95.3933699958
221 92.7592371230 95.9702202201
222 92.3933958382 96.4248758478
223 92.3933958382 95.9929980698
224 92.1311361347 95.2270675104
225 91.7652948500 95.0284978572
226 91.7652948500 94.8887696055
227 91.7652948500 95.6817205550
228 89.9437020431 95.2120798478
229 89.9437020431 95.4610916773
230 89.1880829249 96.0735079246
231 88.8277497046 96.1981093804
232 88.8277497046 97.4178286630
233 88.1505345235 97.0369336389
234 88.1347810106 95.7162486796
235 87.4575658295 95.5107633235
236 87.1047932598 93.8524267564
237 86.4275780787 92.1537128613
238 85.8097535403 90.9747700109
239 85.8097535403 90.3990705958
240 85.8097535403 90.1461721068
241 85.8097535403 90.2030237787
242 85.8097535403 89.5576015687
243 84.7703953593 88.8918476238
244 84.7703953593 88.2394240895
245 84.1286996325 88.6656821122
246 84.1286996325 88.3405018520
247 84.1286996325 87.6933453901
248 82.7942853326 87.3239165640
249 82.7942853326 87.8872788767
250 82.6841551715 87.9735399133
251 82.6359021165 88.6637678242
252 82.6359021165 89.8425027240
253 82.6359021165 90.9760939369
254 82.6359021165 92.2168333940
255 82.6359021165 92.5704470439
256 82.6359021165 92.3398190892
257 82.6359021165 91.7593873126
258 82.6359021165 90.6746011092
259 82.6359021165 90.7682590690
260 82.1700348143 90.3628115542
261 82.1700348143 88.5758789823
262 82.1700348143 88.2986598816
263 82.1700348143 87.2522457631
264 81.6947202573 86.4930450748
265 81.3116246434 86.4676776761
266 81.3116246434 86.1493671859
267 81.3116246434 85.5202105592
268 81.2457558643 85.3163417455
269 81.2457558643 85.6398850846
270 81.2457558643 85.6645120587
271 81.2457558643 84.6393195345
272 81.2457558643 83.7232602987
273 81.2457558643 84.3697700596
274 81.1993705573 84.3805729405
275 80.9445776815 83.8766559935
276 80.9445776815 83.3503731790
277 80.9445776815 83.5639021262
278 80.9445776815 83.8193713560
279 80.8981923745 83.5215868025
280 80.2700913862 83.6707778989
281 80.2700913862 83.2073138212
282 80.1191567023 83.1498457683
283 80.1191567023 82.9930769545
284 80.1191567023 82.9672622378
285 79.6986111305 83.0059654086
286 79.6986111305 83.0909692331
287 79.6191262925 83.2963476875
288 79.6191262925 82.9914345664
289 79.6191262925 82.3765406373
290 79.2300888346 82.6493924954
291 79.2300888346 82.3294668000
292 79.0780250872 82.5632545388
293 79.0780250872 82.4022407546
294 79.0780250872 81.9519803526
295 79.0780250872 82.2585202962
296 79.0780250872 82.8295815058
297 79.0780250872 82.1838372596
298 79.0280583891 82.1569951125
299 79.0280583891 81.6386441565
300 78.5565505073 81.9923571859
301 78.5565505073 82.2086025251
302 78.2513488315 82.2735483133
303 78.2513488315 82.5412226168
304 78.2513488315 82.1781104087
305 78.2513488315 81.9687620277
306 78.2513488315 81.1769957772
307 78.2513488315 81.2172264233
308 78.2513488315 81.3654904388
