# step r x y z
224 34.1187 20.2053 22.8489 15.2892
225 33.5928 21.59 20.4611 15.6107
226 33.5928 21.59 20.4611 15.6107
227 33.1727 23.0948 18.272 15.2706
228 33.6493 24.1346 18.1242 14.8766
229 33.6493 24.1346 18.1242 14.8766
230 33.6493 24.1346 18.1242 14.8766
231 33.6493 24.1346 18.1242 14.8766
232 32.6072 21.5944 18.7433 15.6717
233 33.3457 21.988 18.0344 17.4134
234 32.3632 22.2347 17.7188 15.4609
235 32.1703 22.8553 16.4782 15.5251
236 32.1703 22.8553 16.4782 15.5251
237 31.7942 23.0564 17.5846 13.0406
238 29.8856 20.8141 14.8373 15.4847
239 29.8856 20.8141 14.8373 15.4847
240 32.2563 23.0141 13.7641 17.9268
241 32.2563 23.0141 13.7641 17.9268
242 32.3609 22.2397 15.4502 17.7176
243 32.3609 22.2397 15.4502 17.7176
244 32.3609 22.2397 15.4502 17.7176
245 30.0578 21.7008 13.8673 15.5
246 29.3247 21.8137 13.8633 13.8532
247 29.3247 21.8137 13.8633 13.8532
248 29.3661 23.2189 11.0156 14.2094
249 27.8143 21.38 12.5752 12.5854
250 27.8143 21.38 12.5752 12.5854
251 27.231 19.5229 13.0576 13.7797
252 25.8113 16.9211 13.2633 14.2823
253 25.6142 17.3028 14.4133 12.2049
254 22.9279 15.0895 11.8315 12.5703
255 22.9279 15.0895 11.8315 12.5703
256 21.9745 14.0888 9.80547 13.72
257 20.5565 15.8088 7.33549 10.9015
258 20.5565 15.8088 7.33549 10.9015
259 19.5418 14.3932 8.52881 10.0984
260 16.6724 13.0531 7.4768 7.18916
261 16.6724 13.0531 7.4768 7.18916
262 16.6724 13.0531 7.4768 7.18916
263 18.5874 15.6344 6.96151 7.25218
264 16.2294 13.1177 6.935 6.57451
265 18.0977 15.2437 4.00746 8.89363
266 18.0977 15.2437 4.00746 8.89363
267 18.6533 14.3826 5.05406 10.7491
268 18.6533 14.3826 5.05406 10.7491
269 16.1601 12.171 3.14214 10.1559
270 16.1601 12.171 3.14214 10.1559
271 16.1601 12.171 3.14214 10.1559
272 16.1601 12.171 3.14214 10.1559
273 16.6003 10.2701 1.49419 12.9562
274 17.9513 9.36209 0.303871 15.3136
275 19.691 10.5615 2.96785 16.3518
276 19.691 10.5615 2.96785 16.3518
277 17.9587 10.8585 0.50635 14.2952
278 16.1658 10.6247 0.725789 12.1623
279 16.1658 10.6247 0.725789 12.1623
280 16.1658 10.6247 0.725789 12.1623
281 16.1658 10.6247 0.725789 12.1623
282 16.2326 7.85883 3.67808 13.7189
283 16.2507 6.46995 2.49356 14.6971
284 16.2507 6.46995 2.49356 14.6971
285 15.6469 6.88905 0.46446 14.041
286 15.0336 9.78898 1.20513 11.3461
287 14.5836 7.38784 -0.695322 12.5546
288 15.7044 7.00779 -2.91566 13.7484
289 17.8515 8.75252 -1.52263 15.4839
290 16.6007 9.40493 -2.68312 13.4138
291 16.6007 9.40493 -2.68312 13.4138
292 17.8767 7.42473 0.0571954 16.2618
293 17.627 4.73533 -2.74175 16.7562
294 17.4826 6.12974 -1.98611 16.2519
295 17.4826 6.12974 -1.98611 16.2519
296 20.0033 6.78976 -2.5518 18.6418
297 20.0033 6.78976 -2.5518 18.6418
298 19.0925 5.40049 -0.870716 18.2921
299 19.0925 5.40049 -0.870716 18.2921
300 18.7926 5.98878 0.772122 17.7961
301 18.7926 5.98878 0.772122 17.7961
302 19.2029 6.32108 3.60544 17.7707
303 20.3655 8.24946 2.94551 18.3854
304 20.3655 8.24946 2.94551 18.3854
305 20.3655 8.24946 2.94551 18.3854
306 18.7548 6.1062 0.851116 17.7125
307 20.445 7.07377 0.038755 19.1822
308 22.5955 6.68376 -1.3665 21.5411
309 21.9469 5.99118 1.41982 21.0655
310 21.7584 4.57533 1.25048 21.2352
311 20.0974 5.73009 -0.741549 19.249
312 20.0974 5.73009 -0.741549 19.249
313 19.2623 3.45892 -1.87405 18.8563
314 18.5647 4.78685 -2.81351 17.7149
315 18.5647 4.78685 -2.81351 17.7149
316 18.5647 4.78685 -2.81351 17.7149
317 20.3055 7.02269 -2.30346 18.9127
