# step r x y z
466 76.3944 47.3717 44.5884 40.0488
467 76.1867 46.2485 45.1459 40.3402
468 76.1867 46.2485 45.1459 40.3402
469 75.182 45.87 44.5612 39.5294
470 75.182 45.87 44.5612 39.5294
471 75.182 45.87 44.5612 39.5294
472 75.182 45.87 44.5612 39.5294
473 75.4655 45.4781 45.2588 39.7294
474 76.0154 45.526 45.911 39.9738
475 76.8136 46.4117 47.0415 39.1585
476 76.8136 46.4117 47.0415 39.1585
477 76.8136 46.4117 47.0415 39.1585
478 76.235 46.1403 45.8921 39.7086
479 76.7933 45.7193 46.823 40.1817
480 77.3338 46.8056 47.3237 39.3729
481 76.3654 46.3323 46.7217 38.7566
482 75.6441 45.9939 46.0798 38.513
483 74.4539 44.8176 45.8289 37.8744
484 74.0368 44.9598 44.8701 38.0361
485 74.64 46.083 45.6737 36.8972
486 75.5824 46.0163 46.8404 37.4322
487 75.5263 46.6901 46.9522 36.3283
488 74.2885 46.304 45.9572 35.5339
489 74.2885 46.304 45.9572 35.5339
490 74.3241 46.834 46.2109 34.5716
491 73.9168 47.6547 45.4061 33.6305
492 73.6874 47.2878 44.8211 34.4203
493 73.6874 47.2878 44.8211 34.4203
494 73.6874 47.2878 44.8211 34.4203
495 73.5731 47.1441 43.8972 35.5452
496 73.7204 48.0323 43.758 34.8258
497 73.7204 48.0323 43.758 34.8258
498 72.0482 46.8345 42.932 33.9752
499 73.1271 47.4966 43.5411 34.5806
500 73.027 47.5138 43.2992 34.6491
501 72.9816 47.6775 42.6946 35.0761
502 73.4372 47.7098 43.4916 35.004
503 73.2047 48.2774 42.4046 35.0723
504 73.2161 48.1711 43.3041 34.1306
505 73.054 47.7645 42.5911 35.234
506 73.2285 48.519 41.4406 35.9306
507 73.0758 48.6412 41.086 35.8617
508 72.3445 48.5909 40.2629 35.3773
509 72.3445 48.5909 40.2629 35.3773
510 72.2083 48.3892 41.083 34.4196
511 72.2083 48.3892 41.083 34.4196
512 72.6113 48.468 41.6411 34.4859
513 72.6113 48.468 41.6411 34.4859
514 72.6113 48.468 41.6411 34.4859
515 71.5643 47.4211 40.7891 34.7698
516 70.7844 47.4852 39.9861 34.0102
517 70.0677 46.511 39.7736 34.1214
518 70.0677 46.511 39.7736 34.1214
519 70.0677 46.511 39.7736 34.1214
520 70.0677 46.511 39.7736 34.1214
521 70.1917 46.0846 40.861 33.667
522 70.2981 46.2406 41.3926 33.0194
523 70.2981 46.2406 41.3926 33.0194
524 70.2981 46.2406 41.3926 33.0194
525 69.645 45.1779 41.6896 32.7318
526 68.7403 44.1614 40.6445 33.5114
527 68.8298 44.3506 40.3763 33.7687
528 68.8298 44.3506 40.3763 33.7687
529 68.19 43.8477 39.4439 34.2262
530 67.488 43.6601 39.1858 33.3602
531 68.0584 43.2173 40.1414 33.954
532 68.5572 42.417 41.3335 34.5314
533 68.9864 41.7076 41.7857 35.687
534 68.9864 41.7076 41.7857 35.687
535 68.9864 41.7076 41.7857 35.687
536 67.6549 41.2369 40.9184 34.6756
537 66.6106 40.0668 40.4455 34.5803
538 66.6106 40.0668 40.4455 34.5803
539 65.6925 39.8845 39.4768 34.1514
540 64.9935 40.2137 38.2896 33.7775
541 64.9935 40.2137 38.2896 33.7775
542 65.2328 41.2909 37.4607 33.8685
543 64.5014 40.6788 36.8069 33.9252
544 64.9801 40.6921 37.1734 34.4195
545 64.2824 41.0491 36.224 33.69
546 64.2824 41.0491 36.224 33.69
547 64.3555 40.6453 36.7201 33.782
548 63.6529 40.2766 36.3185 33.3234
549 63.4018 39.3248 35.9011 34.416
550 63.0386 38.5183 35.3865 35.1852
551 63.0386 38.5183 35.3865 35.1852
552 63.0386 38.5183 35.3865 35.1852
553 62.576 39.6839 34.1948 34.2295
554 62.3039 39.5861 34.2305 33.8081
555 61.9359 39.5313 33.05 34.3662
556 61.7459 38.6344 33.3387 34.7631
557 61.9387 39.2454 32.7451 34.9852
558 62.1033 39.8464 32.5839 34.7473
559 61.6453 38.6993 33.4305 34.4225
560 62.7009 39.2269 33.9673 35.1977
561 63.5767 39.3596 34.8057 35.7964
562 63.4758 39.0931 34.4679 36.2336
563 63.2021 38.9063 34.4715 35.9517
564 63.2007 39.7487 34.7328 34.7565
565 63.3185 40.6572 34.4709 34.1758
566 63.3185 40.6572 34.4709 34.1758
567 63.0665 40.7445 34.1082 33.9691
568 63.0665 40.7445 34.1082 33.9691
569 62.4637 39.614 33.9566 34.3423
570 62.4637 39.614 33.9566 34.3423
571 61.964 39.2417 33.645 34.1708
572 61.1729 38.4234 32.7792 34.5151
573 61.4197 37.8327 33.6683 34.7493
574 62.2565 37.4051 34.7277 35.6471
575 62.4364 36.9765 34.6441 36.4804
576 62.754 36.32 35.3476 37.0064
577 63.1971 37.2418 34.683 37.4701
578 62.5069 36.484 34.4719 37.252
579 62.5785 35.4183 35.2492 37.671
580 62.5785 35.4183 35.2492 37.671
581 61.5204 35.031 34.5387 36.9413
582 61.3371 34.6384 34.1486 37.3671
583 61.3371 34.6384 34.1486 37.3671
584 61.3019 34.5938 33.1509 38.2389
585 60.4352 34.2202 32.3759 37.8576
586 60.4352 34.2202 32.3759 37.8576
587 59.9303 34.313 31.9563 37.3236
588 59.9303 34.313 31.9563 37.3236
589 59.9303 34.313 31.9563 37.3236
590 59.9303 34.313 31.9563 37.3236
591 60.3148 34.7593 31.3194 38.0625
592 61.3807 35.269 32.0905 38.6508
593 61.3807 35.269 32.0905 38.6508
594 61.4681 34.8386 31.8697 39.3563
595 60.7878 33.6675 32.3468 38.9273
596 60.4605 34.3018 31.46 38.5893
597 60.428 33.9454 30.9242 39.2803
598 60.428 33.9454 30.9242 39.2803
599 60.18 34.8983 29.8462 38.8966
600 59.9323 35.0383 28.7846 39.1873
601 59.4861 34.4663 27.7058 39.7877
602 59.4479 34.2294 27.7872 39.8782
603 59.0191 34.2718 26.8837 39.8242
604 59.0191 34.2718 26.8837 39.8242
605 59.2409 33.139 28.057 40.3001
606 59.2409 33.139 28.057 40.3001
607 59.2771 32.0964 28.1708 41.1096
608 59.6412 32.2718 28.2113 41.4695
609 59.6761 31.5227 29.3453 41.3086
610 59.6761 31.5227 29.3453 41.3086
611 58.9381 30.394 28.1637 41.9131
612 58.5889 30.4312 28.4427 41.202
613 58.5889 30.4312 28.4427 41.202
614 58.4023 31.3027 28.5806 40.1761
615 59.1464 30.4429 29.6671 41.1265
616 58.9412 29.5777 30.5929 40.7837
617 58.9412 29.5777 30.5929 40.7837
618 58.9412 29.5777 30.5929 40.7837
619 58.4585 28.5907 31.1836 40.3429
620 58.4585 28.5907 31.1836 40.3429
621 58.4585 28.5907 31.1836 40.3429
622 58.4585 28.5907 31.1836 40.3429
623 58.4585 28.5907 31.1836 40.3429
624 57.427 27.4665 30.8632 39.8863
625 57.5055 27.9048 30.0031 40.3488
626 57.5055 27.9048 30.0031 40.3488
627 57.7558 29.0057 29.6709 40.1751
628 57.4423 29.6416 29.2665 39.5533
629 56.6034 29.2329 28.8159 38.9748
630 56.6034 29.2329 28.8159 38.9748
631 56.6034 29.2329 28.8159 38.9748
632 55.9293 29.5333 28.7827 37.7813
633 55.9293 29.5333 28.7827 37.7813
634 55.6908 29.7746 29.0071 37.061
635 54.7488 29.3122 27.873 36.8961
636 55.3269 29.1734 29.0169 36.9865
637 54.0873 28.2181 28.3376 36.4164
638 54.811 28.4621 28.3756 37.269
639 54.811 28.4621 28.3756 37.269
640 54.811 28.4621 28.3756 37.269
641 54.3225 27.4182 28.7301 37.0643
642 54.3225 27.4182 28.7301 37.0643
643 54.7622 27.2022 28.6685 37.9086
644 55.0768 27.2864 28.6848 38.2895
645 55.1603 26.9679 29.0912 38.3287
646 54.9162 26.8218 28.8633 38.2529
647 54.9162 26.8218 28.8633 38.2529
648 53.2199 26.1839 27.7496 37.1042
649 53.2199 26.1839 27.7496 37.1042
650 53.2177 25.9207 28.1234 37.0043
651 53.5028 26.8262 27.5924 37.1694
652 53.887 27.3525 27.6732 37.2806
653 53.7729 26.9922 28.6557 36.6306
654 53.8996 26.1713 29.2232 36.9627
655 54.2032 26.6085 28.1763 37.8956
656 54.2032 26.6085 28.1763 37.8956
657 53.6865 26.028 28.8261 37.0653
658 54.5187 25.6283 29.4045 38.0901
659 53.6923 26.6021 28.2892 37.0798
660 54.1433 25.8308 28.9962 37.7291
661 53.1182 25.2976 28.8669 36.7189
662 53.0705 24.5969 28.1851 37.6441
663 52.5574 25.7477 27.3814 36.7368
664 52.5574 25.7477 27.3814 36.7368
