#     BLOCK:     DISTANCE:    BLOCK_GOFR:    GOFR_AVE:      ERROR:
           3     1.24401     1.43356     1.40289   0.0125479
           3     1.26966     1.25748     1.24403  0.00835425
           3     1.29531     1.09867     1.11303  0.00630115
           3     1.32096     1.00591     1.01149  0.00483261
           3     1.34661    0.934051    0.948353  0.00602448
           3     1.37226    0.865259    0.876634  0.00479835
           3     1.39791    0.802003    0.812089  0.00411949
           3     1.42355    0.770046    0.777223  0.00460943
           3      1.4492    0.727704    0.741368  0.00643326
           3     1.47485    0.701385    0.710363  0.00428078
           3      1.5005    0.678721    0.691314  0.00518725
           3     1.52615    0.672429    0.673933  0.00125634
           3      1.5518    0.669065    0.672673  0.00688361
           3     1.57745    0.662635    0.661371  0.00748013
           3      1.6031    0.655747    0.662442  0.00293621
           3     1.62875    0.666713    0.676514  0.00511683
           3      1.6544    0.699527    0.697639  0.00483736
           3     1.68005    0.721564    0.720689  0.00368514
           3      1.7057    0.745138    0.748339  0.00259521
           3     1.73135    0.778413    0.776744  0.00442685
           3       1.757    0.816156     0.81138  0.00196475
           3     1.78265    0.833372    0.839651  0.00427388
           3      1.8083    0.896961    0.894385  0.00106622
           3     1.83395    0.946152    0.933241  0.00627569
           3      1.8596    0.999621    0.979389   0.0103617
           3     1.88525     1.03795     1.02465  0.00573999
           3      1.9109     1.08011     1.06446   0.0063928
           3     1.93655     1.10128     1.10102  0.00268405
           3      1.9622     1.14639     1.13769  0.00355952
           3     1.98785     1.18661     1.16958  0.00698047
           3      2.0135     1.21005     1.19302  0.00700634
           3     2.03915     1.23674     1.21939   0.0070826
           3      2.0648     1.22277     1.21584    0.002923
           3     2.09045     1.20989     1.21587  0.00462638
           3      2.1161     1.20124     1.21037   0.0042313
           3     2.14174     1.19204     1.19891  0.00609105
           3     2.16739     1.17897     1.17458  0.00892986
           3     2.19304     1.15273     1.15054  0.00375253
           3     2.21869     1.11713     1.11567  0.00112789
           3     2.24434     1.08732     1.09597  0.00661355
           3     2.26999     1.07223     1.07516  0.00756776
           3     2.29564     1.02779     1.03806   0.0045545
           3     2.32129     1.00038     1.01123  0.00450397
           3     2.34694     0.97043    0.983143   0.0058054
           3     2.37259    0.951138    0.964661  0.00555934
           3     2.39824    0.943361    0.953231  0.00537401
           3     2.42389    0.915893     0.93561  0.00855417
           3     2.44954    0.913342    0.920812  0.00381621
           3     2.47519    0.888462    0.898438  0.00478983
           3     2.50084    0.882163    0.889765  0.00317508
           3     2.52649    0.880525    0.882898  0.00120787
           3     2.55214    0.880378    0.888543  0.00342618
           4   0.0128248           0           0           0
           4   0.0384745           0           0           0
           4   0.0641241           0           0           0
           4   0.0897737           0           0           0
           4    0.115423           0           0           0
           4    0.141073           0           0           0
           4    0.166723           0           0           0
           4    0.192372           0           0           0
           4    0.218022           0           0           0
           4    0.243672           0           0           0
           4    0.269321           0           0           0
           4    0.294971           0           0           0
           4     0.32062           0           0           0
           4     0.34627           0           0           0
           4     0.37192           0           0           0
           4    0.397569           0           0           0
           4    0.423219           0           0           0
           4    0.448869           0           0           0
           4    0.474518           0           0           0
           4    0.500168           0           0           0
           4    0.525818           0           0           0
           4    0.551467           0           0           0
           4    0.577117           0           0           0
           4    0.602767           0           0           0
           4    0.628416           0           0           0
           4    0.654066           0           0           0
           4    0.679715           0           0           0
           4    0.705365           0           0           0
           4    0.731015           0           0           0
           4    0.756664           0           0           0
           4    0.782314           0           0           0
           4    0.807964           0           0           0
           4    0.833613           0           0           0
           4    0.859263           0 9.23984e-05  4.7337e-05
           4    0.884913  0.00192581  0.00195791 0.000153229
           4    0.910562   0.0274559   0.0280146 0.000262448
           4    0.936212    0.174333     0.17351   0.0022682
           4    0.961861    0.573597    0.569763  0.00481013
           4    0.987511     1.22367     1.20867  0.00516741
           4     1.01316     1.90235     1.87323   0.0106878
           4     1.03881     2.39065     2.35478   0.0122625
           4     1.06446      2.5785     2.55767   0.0160695
           4     1.09011     2.54637     2.55634   0.0122368
           4     1.11576     2.41345     2.41544   0.0024417
           4     1.14141     2.22376     2.18406   0.0173778
           4     1.16706     1.96475     1.96981   0.0109337
           4     1.19271     1.71882     1.75376   0.0118081
           4     1.21836     1.52325     1.55086   0.0122729
           4     1.24401     1.34019     1.38721   0.0165173
           4     1.26966     1.22095     1.23826  0.00801338
           4     1.29531     1.09928     1.10959  0.00558512
           4     1.32096    0.993657     1.00703  0.00529584
           4     1.34661    0.920411    0.941367  0.00755062
           4     1.37226      0.8587    0.872151  0.00529416
           4     1.39791    0.818834    0.813776  0.00341734
           4     1.42355    0.786213    0.779471  0.00396727
           4      1.4492    0.730186    0.738572  0.00539821
           4     1.47485    0.701689    0.708194  0.00371952
           4      1.5005    0.686581    0.690131  0.00402315
           4     1.52615    0.682406    0.676052  0.00206229
           4      1.5518    0.677319    0.673835   0.0052598
           4     1.57745    0.668587    0.663175  0.00582352
           4      1.6031    0.689336    0.669165  0.00622516
           4     1.62875    0.705056     0.68365  0.00727419
           4      1.6544    0.711491    0.701102  0.00470711
           4     1.68005    0.732891    0.723739  0.00382344
           4      1.7057    0.763064     0.75202  0.00373521
           4     1.73135    0.783277    0.778377  0.00360883
           4       1.757    0.830193    0.816083  0.00433136
           4     1.78265    0.859641    0.844648  0.00538561
           4      1.8083    0.882198    0.891338   0.0027572
           4     1.83395    0.931995     0.93293  0.00471449
           4      1.8596    0.968748    0.976729  0.00810558
           4     1.88525     1.03157     1.02638  0.00455815
           4      1.9109     1.09857     1.07299  0.00880462
           4     1.93655     1.10724     1.10258  0.00242193
           4      1.9622     1.14704     1.14003  0.00335033
           4     1.98785     1.17343     1.17054  0.00530102
           4      2.0135     1.19234     1.19285   0.0052568
           4     2.03915     1.19779     1.21399  0.00707695
           4      2.0648     1.20366      1.2128  0.00342908
           4     2.09045     1.20343     1.21276   0.0043925
           4      2.1161     1.20714     1.20956  0.00324976
           4     2.14174     1.16078     1.18937  0.00943428
           4     2.16739     1.16005     1.17095  0.00739975
           4     2.19304     1.13925     1.14772  0.00372738
           4     2.21869     1.12246     1.11736   0.0016964
           4     2.24434     1.07848      1.0916  0.00624101
           4     2.26999     1.06397     1.07236  0.00617083
           4     2.29564     1.03813     1.03807  0.00341591
           4     2.32129    0.998149     1.00796  0.00440848
           4     2.34694    0.996837    0.986566  0.00526769
           4     2.37259    0.966276    0.965065  0.00418414
           4     2.39824    0.943496    0.950797  0.00454835
           4     2.42389    0.911148    0.929494  0.00831919
           4     2.44954     0.89338    0.913954  0.00659283
           4     2.47519    0.904864    0.900045  0.00385231
           4     2.50084    0.896255    0.891388  0.00276489
           4     2.52649    0.894605    0.885825  0.00269149
           4     2.55214    0.900319    0.891487  0.00361991
           5   0.0128248           0           0           0
           5   0.0384745           0           0           0
           5   0.0641241           0           0           0
           5   0.0897737           0           0           0
           5    0.115423           0           0           0
           5    0.141073           0           0           0
           5    0.166723           0           0           0
           5    0.192372           0           0           0
           5    0.218022           0           0           0
           5    0.243672           0           0           0
           5    0.269321           0           0           0
