#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         239    -5.52056    -5.75396   0.0326332
         240    -5.52613    -5.75301    0.032511
         241    -5.53142    -5.75209   0.0323891
         242     -5.5364     -5.7512   0.0322675
         243    -5.54148    -5.75033   0.0321463
         244    -5.54635     -5.7495   0.0320254
         245    -5.55098    -5.74869   0.0319049
         246    -5.55566     -5.7479   0.0317849
         247    -5.55902    -5.74714   0.0316654
         248    -5.56241    -5.74639   0.0315465
         249    -5.56567    -5.74567   0.0314281
         250    -5.56805    -5.74496   0.0313105
         251    -5.57092    -5.74426   0.0311934
         252    -5.57351    -5.74359    0.031077
         253    -5.57569    -5.74292   0.0309612
         254    -5.57761    -5.74227   0.0308462
         255    -5.57944    -5.74163   0.0307318
         256    -5.58103    -5.74101   0.0306182
         257    -5.58225    -5.74039   0.0305053
         258    -5.58357    -5.73978   0.0303931
         259    -5.58454    -5.73918   0.0302816
         260    -5.58502    -5.73859    0.030171
         261    -5.58519      -5.738   0.0300611
         262    -5.58535    -5.73742    0.029952
         263    -5.58537    -5.73684   0.0298437
         264    -5.58526    -5.73626   0.0297362
         265    -5.58488    -5.73569   0.0296294
         266     -5.5847    -5.73513   0.0295235
         267    -5.58443    -5.73456   0.0294183
         268    -5.58421      -5.734   0.0293139
         269    -5.58392    -5.73344   0.0292102
         270    -5.58372    -5.73289   0.0291073
         271    -5.58269    -5.73233   0.0290052
         272    -5.58176    -5.73178   0.0289038
         273    -5.58123    -5.73123   0.0288032
         274     -5.5805    -5.73068   0.0287033
         275    -5.57942    -5.73013   0.0286042
         276    -5.57816    -5.72958   0.0285059
         277    -5.57731    -5.72903   0.0284083
         278    -5.57626    -5.72848   0.0283114
         279    -5.57533    -5.72793   0.0282153
         280    -5.57466    -5.72738   0.0281198
         281    -5.57409    -5.72684    0.028025
         282    -5.57318    -5.72629   0.0279309
         283    -5.57161    -5.72575   0.0278376
         284    -5.57014     -5.7252    0.027745
         285    -5.56891    -5.72465    0.027653
         286    -5.56777     -5.7241   0.0275618
         287    -5.56626    -5.72355   0.0274712
         288    -5.56468      -5.723   0.0273814
         289    -5.56331    -5.72245   0.0272922
         290    -5.56141    -5.72189   0.0272037
         291    -5.55971    -5.72133    0.027116
         292    -5.55807    -5.72077   0.0270289
         293    -5.55602    -5.72021   0.0269425
         294    -5.55402    -5.71965   0.0268568
         295    -5.55175    -5.71908   0.0267718
         296    -5.54952    -5.71851   0.0266874
         297    -5.54702    -5.71793   0.0266038
         298    -5.54456    -5.71735   0.0265209
         299    -5.54182    -5.71676   0.0264387
         300    -5.53882    -5.71617   0.0263572
         301      -5.536    -5.71557   0.0262765
         302    -5.53278    -5.71496   0.0261964
         303    -5.53005    -5.71435   0.0261171
         304    -5.52632    -5.71373   0.0260385
         305     -5.5231    -5.71311   0.0259606
         306    -5.52026    -5.71248   0.0258834
         307    -5.51659    -5.71184    0.025807
         308    -5.51316    -5.71119   0.0257312
         309    -5.50968    -5.71054   0.0256562
         310    -5.50539    -5.70988    0.025582
         311    -5.50153    -5.70921   0.0255085
         312    -5.49794    -5.70853   0.0254357
         313    -5.49464    -5.70785   0.0253637
         314    -5.49073    -5.70716   0.0252923
         315    -5.48726    -5.70646   0.0252217
         316    -5.48348    -5.70576   0.0251517
         317    -5.48001    -5.70504   0.0250824
         318    -5.47654    -5.70432   0.0250139
         319    -5.47261     -5.7036    0.024946
         320    -5.46929    -5.70287   0.0248788
         321    -5.46552    -5.70213   0.0248123
         322    -5.46189    -5.70138   0.0247464
         323    -5.45779    -5.70063   0.0246813
         324    -5.45414    -5.69987   0.0246168
         325    -5.45016     -5.6991   0.0245531
         326    -5.44678    -5.69832     0.02449
         327    -5.44292    -5.69754   0.0244275
         328    -5.43949    -5.69676   0.0243657
         329    -5.43635    -5.69596   0.0243045
         330    -5.43258    -5.69517   0.0242439
         331     -5.4288    -5.69436   0.0241841
         332    -5.42502    -5.69355   0.0241248
         333    -5.42108    -5.69273   0.0240662
         334    -5.41731    -5.69191   0.0240083
         335    -5.41327    -5.69108    0.023951
         336    -5.40941    -5.69024   0.0238944
         337    -5.40593    -5.68939   0.0238384
         338    -5.40176    -5.68854   0.0237831
         339     -5.3977    -5.68768   0.0237284
         340    -5.39407    -5.68682   0.0236743
         341    -5.39072    -5.68595   0.0236208
         342      -5.388    -5.68508   0.0235678
         343    -5.38515    -5.68421   0.0235153
         344    -5.38267    -5.68333   0.0234633
         345     -5.3798    -5.68245   0.0234117
         346    -5.37809    -5.68157   0.0233606
         347    -5.37543    -5.68069   0.0233099
         348    -5.37365    -5.67981   0.0232596
         349    -5.37231    -5.67893   0.0232097
         350    -5.37157    -5.67805     0.02316
         351    -5.37084    -5.67717   0.0231105
         352    -5.37041     -5.6763   0.0230613
         353    -5.37029    -5.67543   0.0230123
         354    -5.37079    -5.67457   0.0229633
         355     -5.3713    -5.67372   0.0229145
         356    -5.37227    -5.67287   0.0228658
         357    -5.37324    -5.67203   0.0228172
         358     -5.3748     -5.6712   0.0227685
         359    -5.37603    -5.67038   0.0227199
         360    -5.37799    -5.66957   0.0226713
         361    -5.38005    -5.66877   0.0226227
         362    -5.38234    -5.66797   0.0225741
         363    -5.38516     -5.6672   0.0225253
         364    -5.38742    -5.66643   0.0224765
         365    -5.39018    -5.66567   0.0224277
         366    -5.39385    -5.66493   0.0223787
         367    -5.39781     -5.6642   0.0223296
         368    -5.40128    -5.66349   0.0222803
         369    -5.40425    -5.66278    0.022231
         370    -5.40745    -5.66209   0.0221816
         371    -5.41116    -5.66142   0.0221322
         372    -5.41506    -5.66075   0.0220826
         373    -5.41853     -5.6601   0.0220329
         374    -5.42184    -5.65947   0.0219832
         375     -5.4256    -5.65884   0.0219334
         376    -5.42932    -5.65823   0.0218836
         377    -5.43269    -5.65764   0.0218337
