#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         376     1.63098      1.8604   0.0219778
         377      1.6347      1.8598   0.0219277
         378     1.63837     1.85921   0.0218775
         379     1.64198     1.85864   0.0218273
         380     1.64552     1.85808    0.021777
         381     1.64897     1.85753   0.0217268
         382     1.65233     1.85699   0.0216766
         383     1.65558     1.85647   0.0216263
         384     1.65871     1.85595   0.0215762
         385     1.66173     1.85545    0.021526
         386     1.66461     1.85495   0.0214759
         387     1.66736     1.85447   0.0214259
         388     1.66996     1.85399    0.021376
         389     1.67241     1.85352   0.0213261
         390     1.67471     1.85307   0.0212763
         391     1.67684     1.85261   0.0212267
         392     1.67879     1.85217   0.0211772
         393     1.68056     1.85173   0.0211278
         394     1.68214      1.8513   0.0210786
         395     1.68352     1.85088   0.0210295
         396     1.68468     1.85046   0.0209806
         397     1.68562     1.85004   0.0209318
         398     1.68633     1.84963   0.0208833
         399     1.68679     1.84923   0.0208349
         400     1.68701     1.84882   0.0207868
         401     1.68697     1.84842   0.0207389
         402     1.68666     1.84801   0.0206912
         403     1.68607     1.84761   0.0206437
         404     1.68522     1.84721   0.0205965
         405      1.6841     1.84681   0.0205496
         406     1.68271      1.8464    0.020503
         407     1.68107       1.846   0.0204566
         408     1.67918     1.84559   0.0204106
         409     1.67706     1.84518   0.0203648
         410     1.67474     1.84476   0.0203194
         411     1.67225     1.84434   0.0202743
         412      1.6696     1.84392   0.0202295
         413     1.66685     1.84349   0.0201851
         414     1.66401     1.84305    0.020141
         415     1.66115     1.84262   0.0200972
         416     1.65829     1.84217   0.0200538
         417     1.65549     1.84172   0.0200107
         418     1.65278     1.84127   0.0199679
         419     1.65019     1.84082   0.0199255
         420     1.64777     1.84036   0.0198833
         421     1.64554     1.83989   0.0198415
         422     1.64352     1.83943   0.0197999
         423     1.64174     1.83896   0.0197586
         424      1.6402     1.83849   0.0197176
         425      1.6389     1.83802   0.0196768
         426     1.63784     1.83755   0.0196362
         427       1.637     1.83708   0.0195959
         428     1.63635     1.83661   0.0195557
         429     1.63588     1.83615   0.0195157
         430     1.63555     1.83568   0.0194759
         431     1.63532     1.83522   0.0194362
         432     1.63517     1.83475   0.0193968
         433     1.63504     1.83429   0.0193575
         434     1.63492     1.83383   0.0193183
         435     1.63475     1.83337   0.0192793
         436     1.63453     1.83292   0.0192405
         437      1.6342     1.83246   0.0192018
         438     1.63376     1.83201   0.0191634
         439     1.63319     1.83156   0.0191251
         440     1.63247      1.8311   0.0190869
         441     1.63159     1.83065    0.019049
         442     1.63056      1.8302   0.0190113
         443     1.62936     1.82975   0.0189738
         444     1.62802     1.82929   0.0189365
         445     1.62653     1.82884   0.0188994
         446      1.6249     1.82838   0.0188626
         447     1.62316     1.82792    0.018826
         448      1.6213     1.82746   0.0187896
         449     1.61936     1.82699   0.0187535
         450     1.61736     1.82653   0.0187176
         451      1.6153     1.82606   0.0186819
         452      1.6132     1.82559   0.0186465
         453     1.61109     1.82512   0.0186114
         454     1.60898     1.82464   0.0185765
         455     1.60688     1.82416   0.0185418
         456     1.60481     1.82368   0.0185074
         457     1.60277      1.8232   0.0184732
         458     1.60078     1.82271   0.0184392
         459     1.59884     1.82222   0.0184055
         460     1.59696     1.82173    0.018372
         461     1.59515     1.82124   0.0183387
         462     1.59342     1.82075   0.0183057
         463     1.59177     1.82025   0.0182728
         464      1.5902     1.81976   0.0182402
         465     1.58872     1.81926   0.0182077
         466     1.58733     1.81876   0.0181754
         467     1.58605     1.81827   0.0181433
         468     1.58488     1.81777   0.0181114
         469     1.58382     1.81727   0.0180797
         470      1.5829     1.81677   0.0180481
         471     1.58211     1.81627   0.0180166
         472     1.58148     1.81577   0.0179853
         473       1.581     1.81528   0.0179542
         474     1.58068     1.81478   0.0179231
         475     1.58054     1.81429   0.0178922
         476     1.58058      1.8138   0.0178613
         477      1.5808     1.81331   0.0178305
         478     1.58119     1.81282   0.0177998
         479     1.58176     1.81234   0.0177692
         480     1.58249     1.81186   0.0177387
         481     1.58337     1.81139   0.0177081
         482     1.58438     1.81092   0.0176777
         483     1.58551     1.81045   0.0176472
         484     1.58672     1.80999   0.0176168
         485       1.588     1.80953   0.0175864
         486     1.58932     1.80908   0.0175561
         487     1.59064     1.80863   0.0175258
         488     1.59194     1.80819   0.0174955
         489     1.59318     1.80775   0.0174652
         490     1.59435     1.80731    0.017435
         491      1.5954     1.80688   0.0174048
         492     1.59632     1.80645   0.0173747
         493     1.59707     1.80603   0.0173447
         494     1.59765      1.8056   0.0173147
         495     1.59803     1.80518   0.0172848
         496     1.59819     1.80477    0.017255
         497     1.59812     1.80435   0.0172253
         498     1.59782     1.80394   0.0171957
         499     1.59726     1.80352   0.0171662
         500     1.59645     1.80311   0.0171369
         501     1.59538     1.80269   0.0171077
         502     1.59405     1.80228   0.0170786
         503     1.59245     1.80186   0.0170498
         504      1.5906     1.80144   0.0170211
         505     1.58848     1.80102   0.0169926
         506     1.58612      1.8006   0.0169643
         507     1.58351     1.80017   0.0169363
         508     1.58067     1.79974   0.0169085
         509     1.57761      1.7993   0.0168809
         510     1.57435     1.79886   0.0168535
         511      1.5709     1.79841   0.0168264
         512     1.56728     1.79796   0.0167996
         513     1.56352      1.7975   0.0167731
         514     1.55964     1.79704   0.0167469
         515     1.55567     1.79657   0.0167209
         516     1.55163      1.7961   0.0166952
         517     1.54754     1.79562   0.0166699
         518     1.54345     1.79513   0.0166448
         519     1.53936     1.79464     0.01662
         520      1.5353     1.79414   0.0165955
         521     1.53129     1.79363   0.0165713
         522     1.52736     1.79312   0.0165474
         523     1.52351     1.79261   0.0165238
         524     1.51977     1.79209   0.0165005
         525     1.51613     1.79156   0.0164774
         526      1.5126     1.79103   0.0164546
         527      1.5092      1.7905   0.0164321
         528     1.50591     1.78996   0.0164098
         529     1.50273     1.78941   0.0163878
         530     1.49967     1.78887    0.016366
         531     1.49671     1.78832   0.0163444
         532     1.49386     1.78776    0.016323
         533      1.4911     1.78721   0.0163019
         534     1.48844     1.78665    0.016281
         535     1.48588     1.78609   0.0162603
         536     1.48342     1.78552   0.0162397
         537     1.48106     1.78495   0.0162194
         538     1.47881     1.78439   0.0161992
         539     1.47667     1.78381   0.0161792
         540     1.47466     1.78324   0.0161594
         541     1.47279     1.78267   0.0161397
         542     1.47108     1.78209   0.0161201
         543     1.46955     1.78152   0.0161007
         544      1.4682     1.78094   0.0160814
         545     1.46705     1.78037   0.0160622
         546     1.46613     1.77979   0.0160431
         547     1.46546     1.77922   0.0160241
         548     1.46504     1.77864   0.0160051
         549     1.46489     1.77807   0.0159861
         550     1.46503      1.7775   0.0159672
         551     1.46545     1.77693   0.0159483
         552     1.46617     1.77637   0.0159293
         553      1.4672     1.77581   0.0159103
         554     1.46853     1.77526   0.0158913
         555     1.47016     1.77471   0.0158721
         556      1.4721     1.77416   0.0158529
         557     1.47433     1.77363   0.0158336
         558     1.47686     1.77309   0.0158141
         559     1.47966     1.77257   0.0157946
         560     1.48273     1.77205   0.0157748
         561     1.48606     1.77154   0.0157549
         562     1.48963     1.77104   0.0157349
         563     1.49344     1.77055   0.0157147
         564     1.49745     1.77006   0.0156943
         565     1.50167     1.76959   0.0156737
         566     1.50607     1.76912   0.0156529
         567     1.51063     1.76867   0.0156319
         568     1.51534     1.76822   0.0156108
         569     1.52018     1.76778   0.0155894
         570     1.52513     1.76736   0.0155679
         571     1.53019     1.76694   0.0155462
         572     1.53534     1.76654   0.0155243
         573     1.54056     1.76614   0.0155022
         574     1.54584     1.76576   0.0154799
         575     1.55118     1.76539   0.0154575
         576     1.55655     1.76502   0.0154349
         577     1.56195     1.76467   0.0154122
         578     1.56738     1.76433   0.0153893
         579     1.57282       1.764   0.0153663
         580     1.57828     1.76368   0.0153431
         581     1.58376     1.76337   0.0153198
         582     1.58925     1.76307   0.0152964
         583     1.59475     1.76278   0.0152729
         584     1.60027      1.7625   0.0152493
         585      1.6058     1.76224   0.0152256
         586     1.61134     1.76198   0.0152018
         587     1.61691     1.76173   0.0151779
         588      1.6225      1.7615   0.0151539
         589     1.62811     1.76127   0.0151299
         590     1.63374     1.76105   0.0151058
         591     1.63939     1.76085   0.0150816
         592     1.64506     1.76065   0.0150574
         593     1.65073     1.76047   0.0150332
         594     1.65641     1.76029   0.0150089
         595     1.66208     1.76013   0.0149845
         596     1.66773     1.75997   0.0149602
         597     1.67334     1.75983   0.0149359
         598      1.6789     1.75969   0.0149115
         599     1.68438     1.75956   0.0148871
         600     1.68977     1.75945   0.0148628
         601     1.69504     1.75934   0.0148384
         602     1.70018     1.75924   0.0148141
         603     1.70516     1.75915   0.0147898
         604     1.70996     1.75907   0.0147655
         605     1.71457       1.759   0.0147413
         606     1.71896     1.75893   0.0147171
         607     1.72313     1.75887    0.014693
         608     1.72705     1.75882   0.0146689
         609     1.73072     1.75877   0.0146449
         610     1.73413     1.75873    0.014621
         611     1.73726      1.7587   0.0145971
         612     1.74012     1.75867   0.0145733
         613     1.74271     1.75864   0.0145495
         614     1.74503     1.75862   0.0145258
         615     1.74708      1.7586   0.0145022
         616     1.74888     1.75859   0.0144787
         617     1.75042     1.75857   0.0144552
         618     1.75174     1.75856   0.0144319
         619     1.75284     1.75855   0.0144085
         620     1.75373     1.75854   0.0143853
         621     1.75444     1.75854   0.0143621
         622     1.75499     1.75853   0.0143391
         623     1.75538     1.75853    0.014316
         624     1.75564     1.75852   0.0142931
         625     1.75579     1.75852   0.0142702
         626     1.75585     1.75851   0.0142474
         627     1.75582     1.75851   0.0142247
         628     1.75574     1.75851   0.0142021
         629      1.7556      1.7585   0.0141795
         630     1.75542      1.7585    0.014157
         631     1.75522     1.75849   0.0141345
         632       1.755     1.75848   0.0141122
         633     1.75476     1.75848   0.0140899
         634     1.75451     1.75847   0.0140677
         635     1.75425     1.75847   0.0140455
         636     1.75398     1.75846   0.0140234
         637     1.75369     1.75845   0.0140014
         638     1.75339     1.75844   0.0139795
         639     1.75308     1.75844   0.0139576
         640     1.75274     1.75843   0.0139358
         641     1.75238     1.75842   0.0139141
         642     1.75199     1.75841   0.0138924
         643     1.75157      1.7584   0.0138708
         644     1.75112     1.75838   0.0138492
         645     1.75064     1.75837   0.0138278
         646     1.75013     1.75836   0.0138064
         647     1.74959     1.75835    0.013785
         648     1.74904     1.75833   0.0137638
         649     1.74846     1.75832   0.0137426
         650     1.74788      1.7583   0.0137214
         651     1.74729     1.75828   0.0137004
         652     1.74672     1.75827   0.0136794
         653     1.74617     1.75825   0.0136584
         654     1.74565     1.75823   0.0136376
         655     1.74516     1.75821   0.0136168
         656     1.74473     1.75819    0.013596
         657     1.74434     1.75817   0.0135753
         658     1.74403     1.75815   0.0135547
         659     1.74378     1.75812   0.0135342
         660      1.7436      1.7581   0.0135137
         661     1.74348     1.75808   0.0134933
         662     1.74343     1.75806   0.0134729
         663     1.74344     1.75804   0.0134526
         664      1.7435     1.75801   0.0134324
         665      1.7436     1.75799   0.0134122
         666     1.74374     1.75797   0.0133921
         667     1.74389     1.75795    0.013372
         668     1.74405     1.75793    0.013352
         669     1.74421     1.75791   0.0133321
         670     1.74434     1.75789   0.0133122
         671     1.74444     1.75787   0.0132923
         672      1.7445     1.75785   0.0132726
         673     1.74451     1.75783   0.0132529
         674     1.74445     1.75781   0.0132332
