#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         350    -3.79522    -3.79782 0.000591141
         351    -3.79552    -3.79781 0.000589493
         352    -3.79583     -3.7978 0.000587845
         353    -3.79614     -3.7978 0.000586199
         354    -3.79676     -3.7978  0.00058455
         355    -3.79707    -3.79779 0.000582907
         356    -3.79753    -3.79779  0.00058127
         357    -3.79768    -3.79779 0.000579642
         358    -3.79812    -3.79779 0.000578024
         359    -3.79795     -3.7978 0.000576414
         360    -3.79822     -3.7978 0.000574814
         361    -3.79832     -3.7978 0.000573223
         362    -3.79841     -3.7978 0.000571642
         363    -3.79878     -3.7978 0.000570074
         364    -3.79838     -3.7978  0.00056851
         365    -3.79826     -3.7978 0.000566954
         366    -3.79888    -3.79781 0.000565413
         367    -3.79962    -3.79781 0.000563894
         368    -3.79975    -3.79782 0.000562386
         369    -3.79924    -3.79782 0.000560875
         370    -3.79887    -3.79782 0.000559366
         371    -3.79893    -3.79783 0.000557866
         372    -3.79912    -3.79783 0.000556377
         373    -3.79883    -3.79783 0.000554892
         374    -3.79838    -3.79784 0.000553411
         375    -3.79837    -3.79784 0.000551937
         376    -3.79834    -3.79784  0.00055047
         377    -3.79799    -3.79784  0.00054901
         378    -3.79793    -3.79784 0.000547558
         379    -3.79755    -3.79784 0.000546114
         380    -3.79792    -3.79784 0.000544677
         381    -3.79798    -3.79784 0.000543247
         382    -3.79787    -3.79784 0.000541825
         383     -3.7973    -3.79784 0.000540412
         384    -3.79718    -3.79784 0.000539008
         385    -3.79705    -3.79783 0.000537611
         386    -3.79677    -3.79783 0.000536226
         387    -3.79632    -3.79783 0.000534854
         388    -3.79617    -3.79782 0.000533493
         389    -3.79556    -3.79782 0.000532153
         390    -3.79509    -3.79781 0.000530835
         391    -3.79552     -3.7978 0.000529509
         392    -3.79564     -3.7978 0.000528187
         393    -3.79545    -3.79779 0.000526877
         394     -3.7957    -3.79779 0.000525566
         395    -3.79564    -3.79778 0.000524264
         396    -3.79557    -3.79778  0.00052297
         397    -3.79504    -3.79777 0.000521698
         398    -3.79434    -3.79776 0.000520458
         399    -3.79409    -3.79775 0.000519235
         400    -3.79383    -3.79774  0.00051803
         401    -3.79402    -3.79773 0.000516821
         402     -3.7939    -3.79772 0.000515623
         403    -3.79348    -3.79771 0.000514451
         404     -3.7929     -3.7977 0.000513316
         405    -3.79294    -3.79769 0.000512183
         406    -3.79329    -3.79768 0.000511036
         407    -3.79274    -3.79767 0.000509924
         408    -3.79251    -3.79765 0.000508831
         409      -3.792    -3.79764 0.000507774
         410    -3.79198    -3.79763 0.000506724
         411    -3.79198    -3.79761 0.000505677
         412    -3.79141     -3.7976 0.000504674
         413    -3.79103    -3.79758 0.000503702
         414    -3.79145    -3.79757 0.000502703
         415    -3.79161    -3.79755 0.000501697
         416    -3.79196    -3.79754 0.000500671
         417    -3.79235    -3.79753 0.000499625
         418    -3.79262    -3.79751 0.000498568
         419    -3.79294     -3.7975 0.000497497
         420    -3.79328    -3.79749 0.000496415
         421    -3.79395    -3.79748 0.000495307
         422    -3.79403    -3.79748 0.000494201
         423    -3.79442    -3.79747 0.000493085
         424    -3.79466    -3.79746 0.000491967
         425    -3.79475    -3.79746 0.000490851
         426    -3.79512    -3.79745 0.000489729
         427    -3.79532    -3.79745 0.000488607
         428    -3.79565    -3.79744 0.000487484
         429    -3.79579    -3.79744 0.000486363
         430    -3.79575    -3.79743 0.000485248
         431    -3.79582    -3.79743 0.000484136
         432    -3.79616    -3.79743 0.000483025
         433    -3.79631    -3.79742 0.000481916
         434    -3.79642    -3.79742 0.000480811
         435    -3.79651    -3.79742  0.00047971
         436    -3.79657    -3.79742 0.000478614
         437     -3.7963    -3.79742 0.000477526
         438    -3.79662    -3.79741 0.000476439
         439    -3.79693    -3.79741 0.000475355
         440    -3.79602    -3.79741 0.000474285
         441    -3.79556    -3.79741 0.000473228
         442    -3.79555     -3.7974 0.000472176
         443    -3.79524     -3.7974 0.000471135
         444    -3.79525    -3.79739 0.000470099
         445    -3.79496    -3.79739 0.000469074
         446    -3.79484    -3.79738 0.000468057
         447    -3.79443    -3.79737 0.000467057
         448    -3.79389    -3.79737 0.000466079
         449    -3.79367    -3.79736 0.000465113
         450    -3.79316    -3.79735 0.000464173
         451    -3.79298    -3.79734 0.000463245
         452    -3.79251    -3.79733 0.000462344
         453    -3.79265    -3.79732 0.000461438
         454    -3.79237    -3.79731 0.000460551
         455    -3.79224     -3.7973 0.000459673
         456    -3.79212    -3.79728 0.000458805
         457    -3.79187    -3.79727 0.000457954
