#     BLOCK:     DISTANCE:    BLOCK_GOFR:    GOFR_AVE:      ERROR:
           3     1.73135    0.775634    0.782016  0.00296885
           3       1.757    0.812554    0.817342  0.00197232
           3     1.78265    0.851008    0.853415 0.000993181
           3      1.8083     0.89256    0.894604  0.00129299
           3     1.83395    0.936727    0.940642  0.00172382
           3      1.8596    0.979933    0.980055 0.000866846
           3     1.88525     1.01683     1.01869   0.0010679
           3      1.9109     1.06127     1.05892  0.00156062
           3     1.93655     1.09698     1.09409  0.00180017
           3      1.9622     1.13124     1.12965  0.00129959
           3     1.98785     1.16304      1.1598  0.00174841
           3      2.0135     1.18825      1.1829  0.00297597
           3     2.03915      1.2061     1.20137  0.00235559
           3      2.0648     1.21165     1.20965 0.000869356
           3     2.09045     1.21372     1.21499  0.00105833
           3      2.1161      1.2144     1.20982  0.00189339
           3     2.14174     1.19819     1.19377  0.00188136
           3     2.16739     1.18036     1.17387  0.00272522
           3     2.19304      1.1521     1.14812  0.00212379
           3     2.21869     1.12995     1.12444  0.00302106
           3     2.24434     1.10057     1.09509   0.0025513
           3     2.26999     1.07284     1.06815  0.00200843
           3     2.29564     1.04416     1.03648  0.00317512
           3     2.32129     1.01831     1.01355  0.00208026
           3     2.34694    0.991585    0.988196  0.00140284
           3     2.37259    0.966646     0.96726  0.00158125
           3     2.39824    0.948877    0.948034 0.000570554
           3     2.42389    0.927444    0.929054 0.000667784
           3     2.44954    0.917325     0.91932  0.00163462
           3     2.47519    0.904092    0.908069  0.00189342
           3     2.50084    0.887654    0.895403  0.00316338
           3     2.52649    0.883059    0.887475   0.0020849
           3     2.55214     0.88395    0.887571  0.00198345
           4   0.0128248           0           0           0
           4   0.0384745           0           0           0
           4   0.0641241           0           0           0
           4   0.0897737           0           0           0
           4    0.115423           0           0           0
           4    0.141073           0           0           0
           4    0.166723           0           0           0
           4    0.192372           0           0           0
           4    0.218022           0           0           0
           4    0.243672           0           0           0
           4    0.269321           0           0           0
           4    0.294971           0           0           0
           4     0.32062           0           0           0
           4     0.34627           0           0           0
           4     0.37192           0           0           0
           4    0.397569           0           0           0
           4    0.423219           0           0           0
           4    0.448869           0           0           0
           4    0.474518           0           0           0
           4    0.500168           0           0           0
           4    0.525818           0           0           0
           4    0.551467           0           0           0
           4    0.577117           0           0           0
           4    0.602767           0           0           0
           4    0.628416           0           0           0
           4    0.654066           0           0           0
           4    0.679715           0           0           0
           4    0.705365           0           0           0
           4    0.731015           0           0           0
           4    0.756664           0           0           0
           4    0.782314           0           0           0
           4    0.807964           0           0           0
           4    0.833613           0           0           0
           4    0.859263           0 1.45892e-05 1.26346e-05
           4    0.884913  0.00154065  0.00140309 0.000145938
           4    0.910562   0.0239568   0.0238659 0.000794905
           4    0.936212    0.161929    0.165292  0.00181053
           4    0.961861    0.555093     0.56306  0.00406563
           4    0.987511     1.19672     1.19748  0.00532287
           4     1.01316     1.84357     1.85537   0.0073678
           4     1.03881     2.33232     2.33316  0.00362263
           4     1.06446     2.55741     2.55566  0.00204125
           4     1.09011     2.55865     2.54514  0.00673699
           4     1.11576      2.4223     2.41399  0.00338091
           4     1.14141     2.21378     2.19771  0.00472222
           4     1.16706     1.98001      1.9777  0.00224144
           4     1.19271     1.76621     1.76413  0.00240364
           4     1.21836     1.56511     1.55934  0.00316798
           4     1.24401     1.39577     1.39404  0.00199111
           4     1.26966     1.24204     1.24157  0.00191964
           4     1.29531     1.11893      1.1241  0.00281119
           4     1.32096     1.01864     1.02337  0.00211266
           4     1.34661    0.943144    0.943753  0.00276699
           4     1.37226    0.868303    0.871289    0.002022
           4     1.39791     0.81854     0.81752  0.00142684
           4     1.42355    0.765928    0.771892  0.00331743
           4      1.4492    0.728989    0.736003  0.00208552
           4     1.47485    0.696974     0.70639   0.0027603
           4      1.5005    0.684475    0.687531  0.00151714
           4     1.52615    0.674649    0.677311   0.0015101
           4      1.5518    0.668456    0.669017  0.00208828
           4     1.57745    0.666809    0.669845  0.00147948
           4      1.6031    0.678007    0.674905  0.00178939
           4     1.62875    0.683941    0.686672  0.00245171
           4      1.6544     0.69832    0.701842  0.00273165
           4     1.68005    0.726937    0.725111 0.000600985
           4      1.7057    0.750425    0.750491  0.00263802
           4     1.73135    0.775716    0.780441  0.00261131
           4       1.757    0.821753    0.818445  0.00176071
           4     1.78265    0.861426    0.855418  0.00188753
           4      1.8083    0.898836    0.895662  0.00133426
           4     1.83395     0.93261    0.938634   0.0021668
           4      1.8596    0.977848    0.979504 0.000806826
           4     1.88525     1.02785     1.02098  0.00213829
           4      1.9109     1.05711     1.05847   0.0012341
           4     1.93655     1.10064     1.09573  0.00195851
           4      1.9622      1.1331     1.13051  0.00122841
           4     1.98785     1.16359     1.16075  0.00154687
           4      2.0135     1.18913     1.18446  0.00260769
           4     2.03915     1.20328     1.20185  0.00181485
           4      2.0648     1.21798     1.21173  0.00191895
           4     2.09045     1.21641     1.21534 0.000851884
           4      2.1161     1.21258     1.21051  0.00154079
           4     2.14174     1.19264     1.19349  0.00143182
           4     2.16739     1.17905     1.17516  0.00233112
           4     2.19304     1.15061     1.14874  0.00168137
           4     2.21869     1.11808     1.12285  0.00265181
           4     2.24434     1.09274      1.0945  0.00197968
           4     2.26999     1.06958      1.0685  0.00153777
           4     2.29564     1.03016      1.0349  0.00274651
           4     2.32129     1.01312     1.01345  0.00156305
           4     2.34694    0.985992    0.987645  0.00115531
           4     2.37259    0.962513    0.966074  0.00156939
           4     2.39824    0.942159    0.946565   0.0013419
           4     2.42389    0.924247    0.927852    0.001155
           4     2.44954    0.910982    0.917235  0.00218222
           4     2.47519    0.903799    0.907002  0.00169447
           4     2.50084    0.894785    0.895248   0.0023763
           4     2.52649    0.880831    0.885814  0.00212468
           4     2.55214    0.887704    0.887604  0.00148786
           5   0.0128248           0           0           0
           5   0.0384745           0           0           0
           5   0.0641241           0           0           0
           5   0.0897737           0           0           0
           5    0.115423           0           0           0
           5    0.141073           0           0           0
           5    0.166723           0           0           0
           5    0.192372           0           0           0
           5    0.218022           0           0           0
           5    0.243672           0           0           0
           5    0.269321           0           0           0
           5    0.294971           0           0           0
           5     0.32062           0           0           0
           5     0.34627           0           0           0
           5     0.37192           0           0           0
           5    0.397569           0           0           0
           5    0.423219           0           0           0
           5    0.448869           0           0           0
           5    0.474518           0           0           0
           5    0.500168           0           0           0
           5    0.525818           0           0           0
           5    0.551467           0           0           0
           5    0.577117           0           0           0
