# generation best_length mean_best_half
196 4.7962446297 5.0641871490
197 4.7962446297 5.0759939899
198 4.7962446297 5.0736431164
199 4.7962446297 5.0142701365
200 4.7962446297 4.9957911951
201 4.7962446297 5.0206589412
202 4.7962446297 5.0546770695
203 4.7962446297 5.0755566839
204 4.7962446297 5.0697092608
205 4.7962446297 5.0646490263
206 4.7962446297 5.0641318745
207 4.7962446297 5.0066734090
208 4.7962446297 5.0027054256
209 4.7962446297 4.9888577994
210 4.7962446297 5.0592358101
211 4.7962446297 4.9849447960
212 4.7962446297 4.9466112760
213 4.7962446297 4.9766798140
214 4.7962446297 4.9511969617
215 4.7962446297 5.0237845625
216 4.7962446297 5.0482638162
217 4.7962446297 5.0626920177
218 4.7962446297 5.1176715969
219 4.7962446297 5.0729517243
220 4.7962446297 4.9699397451
221 4.7962446297 5.0097292881
222 4.7962446297 4.9920007186
223 4.7962446297 4.9502564935
224 4.7962446297 5.0079576354
225 4.7962446297 5.0123768719
226 4.7962446297 5.0558569172
227 4.7962446297 5.0209800004
228 4.7962446297 4.9869028406
229 4.7962446297 5.0692287389
230 4.7962446297 5.0685843438
231 4.7962446297 5.0523515806
232 4.7962446297 5.0118749226
233 4.7962446297 4.9683084202
234 4.7962446297 4.9342945787
235 4.7962446297 4.9533049514
236 4.7962446297 5.0639552265
237 4.7962446297 5.0616544479
238 4.7962446297 5.0212216922
239 4.7962446297 4.9588691234
240 4.7962446297 4.9962763099
241 4.7962446297 4.9793404734
242 4.7962446297 5.0572922953
243 4.7962446297 5.0749092227
244 4.7962446297 5.0413092771
245 4.7962446297 5.0725728954
246 4.7962446297 5.0185995830
247 4.7962446297 5.0345747422
248 4.7962446297 5.0323273631
249 4.7962446297 5.0646086749
250 4.7962446297 5.0640903958
251 4.7962446297 5.1001823474
252 4.7962446297 5.0324989688
253 4.7962446297 4.9959271655
254 4.7962446297 4.9956160080
255 4.7962446297 4.9783274021
256 4.7962446297 4.9870700474
257 4.7962446297 5.0110772331
258 4.7962446297 5.0090803612
259 4.7962446297 5.0291336412
260 4.7962446297 4.9960837434
261 4.7962446297 5.0627170020
262 4.7962446297 5.0473452891
263 4.7962446297 5.0651264478
264 4.7962446297 5.0032750947
265 4.7962446297 5.0432866406
266 4.7962446297 4.9758929369
267 4.7962446297 5.0333079042
268 4.7962446297 5.0395479581
269 4.7962446297 5.0234818825
270 4.7962446297 5.0565344908
271 4.7962446297 5.0892651640
272 4.7962446297 5.0093659276
273 4.7962446297 4.9952209498
274 4.7962446297 5.0543157863
275 4.7962446297 5.1014254236
276 4.7962446297 5.0805524847
277 4.7962446297 5.0841429974
278 4.7962446297 5.0927782342
279 4.7962446297 5.0288449870
280 4.7962446297 5.0176329144
281 4.7962446297 5.0611084654
282 4.7962446297 5.0112581147
283 4.7962446297 5.0166876110
284 4.7962446297 5.0219750908
285 4.7962446297 5.0330507701
286 4.7962446297 5.0422559718
287 4.7962446297 5.0130947923
288 4.7962446297 5.0036680713
289 4.7962446297 4.9710070048
290 4.7962446297 4.9924633475
291 4.7962446297 4.9143134528
292 4.7962446297 4.9861404422
293 4.7962446297 4.9443522824
294 4.7962446297 4.9446990479
295 4.7962446297 4.9840199267
296 4.7962446297 4.9379161833
297 4.7962446297 4.9223981957
298 4.7962446297 4.9366843739
299 4.7962446297 4.9757556875
300 4.7962446297 4.9854311733
301 4.7962446297 4.9799562327
302 4.7962446297 4.9955005642
303 4.7962446297 4.9986273660
304 4.7962446297 5.0056441038
305 4.7962446297 5.0145611528
306 4.7962446297 5.0613961096
307 4.7962446297 4.9924778082
308 4.7962446297 4.9976872496
309 4.7962446297 4.9901320114
310 4.7962446297 5.0137776387
311 4.7962446297 5.0424437478
312 4.7962446297 5.0059779793
313 4.7962446297 4.9939881506
314 4.7962446297 4.9864873048
315 4.7962446297 4.9485592402
316 4.7962446297 5.0153324566
317 4.7962446297 5.0650174063
318 4.7962446297 5.0413658683
319 4.7962446297 5.0493846179
320 4.7962446297 5.0639331030
321 4.7962446297 5.1507274392
322 4.7962446297 5.0836825254
323 4.7962446297 5.0556816178
324 4.7962446297 4.9824903321
325 4.7962446297 4.9857006675
326 4.7962446297 4.9515555165
327 4.7962446297 4.9711529030
328 4.7962446297 5.0864688693
329 4.7962446297 4.9715702558
330 4.7962446297 5.0272567421
331 4.7962446297 5.0200456591
332 4.7962446297 4.9528832214
333 4.7962446297 5.0034036099
334 4.7962446297 4.9897171561
335 4.7962446297 4.9734512745
336 4.7962446297 5.0319443515
337 4.7962446297 4.9896961515
338 4.7962446297 5.0720831549
339 4.7962446297 5.0132405214
340 4.7962446297 5.0013544381
341 4.7962446297 5.0465411423
342 4.7962446297 5.0501376196
343 4.7962446297 4.9945996434
344 4.7962446297 5.1043472539
345 4.7962446297 5.0581110569
346 4.7962446297 5.0456237590
347 4.7962446297 5.0674453544
348 4.7962446297 4.9895685782
349 4.7962446297 4.9959351656
350 4.7962446297 5.0127280296
351 4.7962446297 5.0301174309
352 4.7962446297 5.0682276023
353 4.7962446297 5.0986596698
354 4.7962446297 5.1295258702
355 4.7962446297 5.0649624817
356 4.7962446297 5.0231420239
357 4.7962446297 5.0463965836
358 4.7962446297 5.0086555345
359 4.7962446297 4.9889609735
360 4.7962446297 4.9857517090
361 4.7962446297 5.0012417533
362 4.7962446297 5.0094860265
363 4.7962446297 4.9987108134
364 4.7962446297 4.9944861402
365 4.7962446297 5.0047221244
366 4.7962446297 5.0622822334
367 4.7962446297 5.0279029613
368 4.7962446297 5.0357244401
369 4.7962446297 5.0529154035
370 4.7962446297 5.0490947000
371 4.7962446297 5.0396437811
372 4.7962446297 5.0302117609
373 4.7962446297 5.0718871478
374 4.7962446297 5.1022753962
375 4.7962446297 5.1300636658
376 4.7962446297 5.1156583772
377 4.7962446297 4.9943845659
378 4.7962446297 4.9948175477
379 4.7962446297 5.0398068853
380 4.7962446297 5.0897523128
381 4.7962446297 5.0799406499
382 4.7962446297 5.0884798633
383 4.7962446297 5.0451470715
384 4.7962446297 5.0548105001
385 4.7962446297 5.0310759819
386 4.7962446297 4.9788972265
387 4.7962446297 5.0138377510
388 4.7962446297 4.9909530494
389 4.7962446297 5.0466407672
390 4.7962446297 5.1020139676
391 4.7962446297 5.1753401366
392 4.7962446297 5.1102654050
393 4.7962446297 5.0202732812
394 4.7962446297 5.0650962813
395 4.7962446297 5.1011098977
396 4.7962446297 5.0490128707
397 4.7962446297 5.0314571864
398 4.7962446297 5.0422438595
399 4.7962446297 5.0813213384
400 4.7962446297 5.0712951895
401 4.7962446297 5.0732861987
402 4.7962446297 5.0786436318
403 4.7962446297 5.0703099404
404 4.7962446297 5.0863222573
405 4.7962446297 5.0637281153
406 4.7962446297 5.0454102924
407 4.7962446297 4.9905702459
408 4.7962446297 4.9909255889
409 4.7962446297 5.0102833350
410 4.7962446297 4.9530686339
411 4.7962446297 5.0026468643
412 4.7962446297 4.9968414801
413 4.7962446297 5.1057107075
414 4.7962446297 5.0545730541
415 4.7962446297 5.0515919343
416 4.7962446297 5.0097460021
417 4.7962446297 5.0344926659
418 4.7962446297 5.0122171122
419 4.7962446297 5.0496392571
420 4.7962446297 5.1031537162
421 4.7962446297 5.0531003362
422 4.7962446297 5.0563199210
423 4.7962446297 5.0257239472
424 4.7962446297 5.1148941644
425 4.7962446297 5.1681199203
426 4.7962446297 5.0536100158
427 4.7962446297 5.0635590299
428 4.7962446297 5.0715858386
429 4.7962446297 5.0462588467
430 4.7962446297 5.0231624934
431 4.7962446297 4.9975168078
432 4.7962446297 5.0253035317
433 4.7962446297 5.0887942153
434 4.7962446297 5.0679796995
435 4.7962446297 5.0565894950
436 4.7962446297 5.0424757267
437 4.7962446297 5.0383899548
438 4.7962446297 5.0612125546
439 4.7962446297 5.0611140963
440 4.7962446297 5.0546423338
441 4.7962446297 5.1463740669
442 4.7962446297 5.1300985905
443 4.7962446297 5.0675271674
444 4.7962446297 5.0853568548
445 4.7962446297 5.1220073902
446 4.7962446297 5.1117208417
447 4.7962446297 5.0635949255
448 4.7962446297 5.0391073615
449 4.7962446297 5.0716474852
450 4.7962446297 5.0716474952
451 4.7962446297 5.0384970116
452 4.7962446297 5.0787270578
453 4.7962446297 5.0748472525
454 4.7962446297 5.0367130481
455 4.7962446297 5.0566655642
456 4.7962446297 5.0113513471
457 4.7962446297 5.0412087213
458 4.7962446297 4.9932694967
459 4.7962446297 5.0473615102
460 4.7962446297 5.0304819535
461 4.7962446297 5.0554820015
462 4.7962446297 5.0650091423
463 4.7962446297 5.0128613499
464 4.7962446297 5.0348379350
465 4.7962446297 5.0182553331
466 4.7962446297 5.0421686096
467 4.7962446297 5.0543048423
468 4.7962446297 5.1187059943
469 4.7962446297 5.1080689668
470 4.7962446297 5.0353394615
471 4.7962446297 5.0321195917
472 4.7962446297 5.0322168118
473 4.7962446297 4.9776438062
474 4.7962446297 5.0321257996
475 4.7962446297 4.9281552270
476 4.7962446297 4.9417380121
477 4.7962446297 5.0064672402
478 4.7962446297 5.0028613123
479 4.7962446297 5.0278897414
480 4.7962446297 4.9595419746
481 4.7962446297 4.9904362416
482 4.7962446297 4.9740155844
483 4.7962446297 4.9861448990
484 4.7962446297 5.0097031789
485 4.7962446297 5.0786750916
486 4.7962446297 5.0458660103
487 4.7962446297 5.0378188281
488 4.7962446297 5.0840559211
489 4.7962446297 5.0456734448
490 4.7962446297 5.0879970089
491 4.7962446297 5.1588139336
492 4.7962446297 5.1353125020
493 4.7962446297 5.1052024649
494 4.7962446297 5.0969862800
495 4.7962446297 5.1175352917
496 4.7962446297 5.0700800477
497 4.7962446297 5.0565368279
498 4.7962446297 5.0889728865
499 4.7962446297 5.1284476359
500 4.7962446297 5.0745246855
501 4.7962446297 5.0476876755
502 4.7962446297 5.0393966466
503 4.7962446297 5.0748076977
504 4.7962446297 5.0755533003
505 4.7962446297 5.0477637332
506 4.7962446297 5.0397361874
507 4.7962446297 5.0220669005
508 4.7962446297 5.0255998492
509 4.7962446297 5.0382512650
510 4.7962446297 5.0004118390
511 4.7962446297 5.0568291878
512 4.7962446297 5.0351289663
513 4.7962446297 5.0610258061
514 4.7962446297 5.1377603858
515 4.7962446297 5.1350254265
516 4.7962446297 5.1172196976
517 4.7962446297 5.1003436691
518 4.7962446297 5.1039680888
519 4.7962446297 5.1214249030
520 4.7962446297 5.0496084512
521 4.7962446297 5.0268002935
522 4.7962446297 5.0227846995
523 4.7962446297 4.9803450927
524 4.7962446297 5.0166465824
525 4.7962446297 5.0412103254
526 4.7962446297 5.0698402114
527 4.7962446297 5.0416995455
