# generation best_length mean_best_half
197 4.7962446297 5.0881289268
198 4.7962446297 5.0880015303
199 4.7962446297 5.0116599980
200 4.7683940643 4.9832345685
201 4.7683940643 5.0478813116
202 4.7683940643 5.0597373661
203 4.7683940643 5.0399644968
204 4.7683940643 5.0464459527
205 4.7683940643 5.0555546728
206 4.7683940643 5.0799430844
207 4.7683940643 5.0104499717
208 4.7683940643 4.9877648629
209 4.7683940643 4.9509758788
210 4.7683940643 5.0407295467
211 4.7683940643 4.9687501642
212 4.7683940643 4.9381827222
213 4.7683940643 4.9476342156
214 4.7683940643 4.9473673002
215 4.7683940643 5.0237870215
216 4.7683940643 5.0226033163
217 4.7683940643 5.0456661599
218 4.7683940643 5.0787443680
219 4.7683940643 5.0350814664
220 4.7683940643 4.9512519803
221 4.7683940643 5.0131758038
222 4.7683940643 4.9928905522
223 4.7683940643 4.9663276271
224 4.7683940643 5.0265872507
225 4.7683940643 5.0202772519
226 4.7683940643 5.0494104422
227 4.7683940643 5.0284384224
228 4.7683940643 4.9657402109
229 4.7683940643 5.0311413551
230 4.7683940643 5.0082387429
231 4.7683940643 5.0283833173
232 4.7683940643 5.0105376054
233 4.7683940643 4.9642980279
234 4.7683940643 4.9247753921
235 4.7683940643 4.9351608646
236 4.7683940643 5.0449834094
237 4.7683940643 5.0457080618
238 4.7683940643 5.0113889219
239 4.7683940643 4.9688384579
240 4.7683940643 5.0260197025
241 4.7683940643 4.9948457326
242 4.7683940643 5.0667756983
243 4.7683940643 5.0791101755
244 4.7683940643 5.0734693264
245 4.7683940643 5.0565830123
246 4.7683940643 5.0020186222
247 4.7683940643 5.0128727412
248 4.7683940643 4.9972954580
249 4.7683940643 5.0179127994
250 4.7683940643 5.0171093638
251 4.7683940643 5.0245229516
252 4.7683940643 4.9651211392
253 4.7683940643 4.9722022784
254 4.7683940643 4.9814905599
255 4.7683940643 4.9678330339
256 4.7683940643 4.9724545922
257 4.7683940643 5.0272331208
258 4.7683940643 5.0240315739
259 4.7683940643 5.0274435740
260 4.7683940643 4.9892398808
261 4.7683940643 5.0537394487
262 4.7683940643 5.0414220077
263 4.7683940643 5.0423327321
264 4.7683940643 5.0058499863
265 4.7683940643 5.0244166351
266 4.7683940643 4.9542916609
267 4.7683940643 4.9915075462
268 4.7683940643 5.0066330109
269 4.7683940643 4.9955354860
270 4.7683940643 5.0390658180
271 4.7683940643 5.0368016002
272 4.7683940643 4.9749243757
273 4.7683940643 4.9648845342
274 4.7683940643 5.0323717005
275 4.7683940643 5.0730523928
276 4.7683940643 5.0600012157
277 4.7683940643 5.0299270280
278 4.7683940643 5.0194608620
279 4.7683940643 4.9867603510
280 4.7683940643 4.9688558647
281 4.7683940643 4.9990053194
282 4.7683940643 4.9711246871
283 4.7683940643 5.0014104773
284 4.7683940643 4.9916334899
285 4.7683940643 5.0090564233
286 4.7683940643 5.0191464009
287 4.7683940643 4.9883143899
288 4.7683940643 4.9821457201
289 4.7683940643 4.9421514636
290 4.7683940643 4.9726130280
291 4.7683940643 4.8835370170
292 4.7683940643 4.9833574469
293 4.7683940643 4.9393771885
294 4.7683940643 4.9539113696
295 4.7683940643 4.9797403810
296 4.7683940643 4.9429794139
297 4.7683940643 4.9251213481
298 4.7683940643 4.9255274026
299 4.7683940643 4.9846188836
300 4.7683940643 4.9834131367
301 4.7683940643 5.0009761781
302 4.7683940643 5.0069975707
303 4.7683940643 5.0008726934
304 4.7683940643 5.0191720880
305 4.7683940643 5.0214662589
306 4.7683940643 5.0753407792
307 4.7683940643 4.9939876829
308 4.7683940643 4.9722345731
