#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         578     1.38172     1.03421   0.0350438
         579     1.14788     1.03441   0.0349838
         580     1.46942     1.03516   0.0349315
         581     1.24725     1.03552   0.0348733
         582     1.20341     1.03581   0.0348146
         583     1.34176     1.03634   0.0347588
         584     1.08524     1.03642   0.0346994
         585     1.10006     1.03653   0.0346403
         586     1.38765     1.03713   0.0345863
         587     1.24274     1.03748   0.0345292
         588     1.33138     1.03798   0.0344741
         589     1.45264     1.03868   0.0344227
         590     1.13196     1.03884   0.0343647
         591     1.07224      1.0389   0.0343066
         592     1.14845     1.03908   0.0342492
         593     1.01158     1.03904   0.0341915
         594     1.24887     1.03939   0.0341357
         595    0.746935      1.0389   0.0340819
         596    0.987388     1.03881   0.0340248
         597    0.884996     1.03855   0.0339688
         598    0.896373     1.03832   0.0339128
         599     1.16994     1.03854   0.0338569
         600     1.25385     1.03889   0.0338024
         601    0.588703     1.03815   0.0337545
         602    0.628621     1.03747   0.0337052
         603    0.753134     1.03699   0.0336526
         604    0.927526     1.03681   0.0335974
         605      1.0209     1.03679   0.0335419
         606     1.10578      1.0369   0.0334867
         607     1.18378     1.03714   0.0334324
         608     1.35681     1.03767   0.0333816
         609     1.35392     1.03819   0.0333308
         610     1.72294     1.03931   0.0332951
         611     1.93067     1.04077   0.0332725
         612     1.66589     1.04179   0.0332338
         613     1.35006     1.04229   0.0331834
         614     1.33362     1.04277   0.0331328
         615     1.90355     1.04417   0.0331084
         616     1.48027     1.04488   0.0330623
         617     1.63876     1.04584   0.0330227
         618     1.21831     1.04612   0.0329704
         619     1.43096     1.04674    0.032923
         620     1.60146     1.04763   0.0328821
         621     1.80555     1.04885   0.0328518
         622     1.71237     1.04992   0.0328163
         623     1.78928     1.05111   0.0327851
         624     1.68507     1.05212   0.0327483
         625     1.35171      1.0526   0.0326994
         626       1.194     1.05283   0.0326479
         627      1.2852      1.0532   0.0325979
         628     1.35114     1.05367   0.0325495
         629    0.889601     1.05341   0.0324988
         630    0.862399     1.05311   0.0324486
         631       0.954     1.05295   0.0323976
         632    0.895704      1.0527   0.0323473
         633    0.827249     1.05235   0.0322981
         634    0.823362     1.05199   0.0322492
         635    0.995695      1.0519   0.0321985
         636     1.12953     1.05202   0.0321481
         637     1.25584     1.05234   0.0320993
         638     1.52171     1.05308   0.0320574
         639     1.55298     1.05386   0.0320168
         640     1.16677     1.05403   0.0319672
         641     1.39517     1.05457   0.0319218
         642      1.3528     1.05503   0.0318754
         643     1.32337     1.05545   0.0318286
         644     1.13474     1.05557   0.0317794
         645     1.13873      1.0557   0.0317304
         646    0.726264     1.05519   0.0316854
         647    0.543798      1.0544   0.0316463
         648    0.459432     1.05348   0.0316107
         649    0.283957      1.0523   0.0315843
         650    0.768992     1.05186   0.0315387
         651    0.706741     1.05133   0.0314947
         652     1.23688     1.05161   0.0314477
         653     1.17702     1.05181   0.0314001
         654     1.42084     1.05237   0.0313572
         655     1.83242     1.05356   0.0313319
         656     1.23742     1.05384   0.0312854
         657     1.14176     1.05398    0.031238
         658     1.24885     1.05427    0.031192
         659      1.3051     1.05465    0.031147
         660      1.7683     1.05573   0.0311185
         661     1.87324     1.05697    0.031096
