#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         257     1.82543     1.98849   0.0311568
         258     1.82639     1.98786   0.0310424
         259     1.82716     1.98724   0.0309287
         260     1.82774     1.98663   0.0308158
         261     1.82815     1.98602   0.0307037
         262     1.82841     1.98542   0.0305924
         263     1.82853     1.98482   0.0304819
         264     1.82853     1.98423   0.0303722
         265      1.8284     1.98364   0.0302633
         266     1.82817     1.98306   0.0301552
         267     1.82784     1.98248   0.0300478
         268     1.82743      1.9819   0.0299413
         269     1.82694     1.98132   0.0298355
         270     1.82638     1.98075   0.0297305
         271     1.82576     1.98018   0.0296263
         272     1.82507     1.97961   0.0295229
         273     1.82434     1.97904   0.0294202
         274     1.82355     1.97847   0.0293183
         275     1.82272     1.97791   0.0292172
         276     1.82185     1.97734   0.0291168
         277     1.82093     1.97678   0.0290172
         278     1.81997     1.97621   0.0289183
         279     1.81896     1.97565   0.0288201
         280     1.81791     1.97508   0.0287227
         281     1.81681     1.97452    0.028626
         282     1.81566     1.97396     0.02853
         283     1.81445     1.97339   0.0284348
         284     1.81318     1.97283   0.0283403
         285     1.81185     1.97227   0.0282464
         286     1.81044      1.9717   0.0281533
         287     1.80897     1.97113    0.028061
         288     1.80741     1.97056   0.0279693
         289     1.80576     1.96999   0.0278783
         290     1.80401     1.96942   0.0277881
         291     1.80217     1.96885   0.0276985
         292     1.80023     1.96827   0.0276097
         293     1.79817     1.96769   0.0275215
         294       1.796      1.9671   0.0274341
         295     1.79372     1.96652   0.0273474
         296     1.79131     1.96593   0.0272614
         297     1.78879     1.96533   0.0271762
         298     1.78615     1.96473   0.0270916
         299     1.78339     1.96412   0.0270078
         300     1.78051     1.96351   0.0269247
         301     1.77752     1.96289   0.0268424
         302     1.77443     1.96227   0.0267607
         303     1.77124     1.96164   0.0266798
         304     1.76796       1.961   0.0265997
         305      1.7646     1.96036   0.0265203
         306     1.76117      1.9597   0.0264416
         307     1.75767     1.95905   0.0263636
         308     1.75413     1.95838   0.0262864
         309     1.75054     1.95771     0.02621
         310     1.74692     1.95703   0.0261342
         311     1.74328     1.95634   0.0260592
         312     1.73963     1.95565    0.025985
         313     1.73597     1.95494   0.0259114
         314     1.73231     1.95424   0.0258386
         315     1.72864     1.95352   0.0257665
         316     1.72498      1.9528   0.0256951
         317     1.72133     1.95207   0.0256244
         318     1.71768     1.95133   0.0255544
         319     1.71403     1.95059   0.0254852
         320     1.71039     1.94983   0.0254166
         321     1.70674     1.94908   0.0253487
         322     1.70309     1.94831   0.0252815
         323     1.69942     1.94754   0.0252149
         324     1.69574     1.94677   0.0251491
         325     1.69204     1.94598   0.0250839
         326     1.68833     1.94519   0.0250194
         327      1.6846     1.94439   0.0249556
         328     1.68086     1.94359   0.0248924
         329     1.67709     1.94278   0.0248299
         330     1.67332     1.94196   0.0247681
         331     1.66955     1.94114    0.024707
         332     1.66579     1.94031   0.0246465
         333     1.66205     1.93948   0.0245866
         334     1.65834     1.93863   0.0245274
         335     1.65468     1.93779   0.0244688
         336      1.6511     1.93693   0.0244109
         337      1.6476     1.93608   0.0243535
         338     1.64421     1.93521   0.0242968
         339     1.64095     1.93434   0.0242406
         340     1.63785     1.93347    0.024185
         341     1.63491      1.9326   0.0241299
         342     1.63218     1.93172   0.0240754
         343     1.62966     1.93084   0.0240213
         344     1.62738     1.92996   0.0239676
         345     1.62535     1.92907   0.0239144
         346     1.62359     1.92819   0.0238616
         347     1.62211     1.92731   0.0238091
         348     1.62091     1.92643    0.023757
         349     1.62002     1.92555   0.0237051
         350     1.61944     1.92467   0.0236535
         351     1.61916      1.9238   0.0236021
         352      1.6192     1.92294   0.0235509
         353     1.61954     1.92208   0.0234999
         354     1.62019     1.92123    0.023449
         355     1.62115     1.92038   0.0233982
         356     1.62239     1.91954   0.0233474
         357     1.62393     1.91872   0.0232967
         358     1.62574      1.9179    0.023246
         359      1.6278     1.91709   0.0231953
         360     1.63011     1.91629   0.0231445
         361     1.63266     1.91551   0.0230938
         362     1.63541     1.91473   0.0230429
         363     1.63836     1.91397    0.022992
         364     1.64149     1.91322    0.022941
         365     1.64476     1.91249     0.02289
         366     1.64818     1.91177   0.0228388
         367      1.6517     1.91106   0.0227876
         368     1.65532     1.91036   0.0227362
         369     1.65901     1.90968   0.0226848
         370     1.66275     1.90901   0.0226333
         371     1.66653     1.90836   0.0225818
         372     1.67032     1.90772   0.0225301
         373      1.6741     1.90709   0.0224784
         374     1.67786     1.90648   0.0224267
         375     1.68158     1.90588   0.0223749
         376     1.68526     1.90529   0.0223231
         377     1.68887     1.90472   0.0222712
         378      1.6924     1.90416   0.0222194
         379     1.69584     1.90361   0.0221676
         380     1.69919     1.90307   0.0221158
         381     1.70242     1.90254    0.022064
         382     1.70554     1.90203   0.0220123
         383     1.70853     1.90152   0.0219606
         384     1.71139     1.90103    0.021909
         385     1.71411     1.90054   0.0218574
         386     1.71667     1.90007    0.021806
         387     1.71908      1.8996   0.0217547
         388     1.72132     1.89914   0.0217035
         389     1.72338     1.89869   0.0216524
         390     1.72526     1.89824   0.0216014
         391     1.72695      1.8978   0.0215506
         392     1.72843     1.89737      0.0215
