# VELOCITY:     AVE_POFV:        ERROR:
       0.225   0.0163889  0.00297107
       0.375   0.0507407   0.0095754
       0.525    0.098858   0.0177236
       0.675    0.155023   0.0156244
       0.825    0.228673   0.0344498
       0.975     0.26483   0.0364047
       1.125    0.309545   0.0243903
       1.275    0.400278   0.0374771
       1.425    0.464846   0.0440288
       1.575    0.479691   0.0478973
       1.725    0.489938    0.039172
       1.875    0.380216   0.0163027
       2.025    0.436644   0.0302518
       2.175     0.36348   0.0250717
       2.325    0.351034   0.0182372
       2.475    0.391659   0.0602257
       2.625    0.347701   0.0675026
       2.775    0.309807    0.034531
       2.925    0.251597   0.0342227
       3.075    0.215733   0.0239296
       3.225    0.127315   0.0242068
       3.375    0.175463   0.0181255
       3.525    0.104946    0.021151
       3.675   0.0824846   0.0124314
       3.825   0.0549074  0.00871713
       3.975   0.0382022  0.00843411
       4.125   0.0371836   0.0098888
       4.275   0.0165741  0.00513382
       4.425  0.00920525  0.00416401
       4.575  0.00463735  0.00278239
       4.725   0.0028858  0.00199581
       4.875   0.0016358   0.0011734
       5.025 0.000709877 0.000438119
       5.175 0.000555556 0.000404191
       5.325           0           0
       5.475           0           0
       5.625           0           0
       5.775           0           0
       5.925           0           0

       0.075  0.00381344  0.00190588
       0.225   0.0176955  0.00291412
       0.375   0.0530041  0.00877489
       0.525   0.0968587   0.0158667
       0.675    0.157606   0.0141003
       0.825    0.228368   0.0306234
       0.975    0.251214   0.0348132
       1.125    0.309938   0.0216835
       1.275    0.428066   0.0423808
       1.425    0.471968   0.0397087
       1.575    0.498121   0.0459844
       1.725    0.508752   0.0390771
       1.875    0.384835   0.0151316
       2.025    0.423903   0.0294515
       2.175    0.360727   0.0224366
       2.325    0.350357   0.0162234
       2.475    0.377442   0.0551866
       2.625    0.345192   0.0600489
       2.775    0.294733    0.033825
       2.925    0.250569   0.0304356
       3.075    0.216317   0.0212779
       3.225     0.12987   0.0216516
       3.375    0.169294   0.0171293
       3.525   0.0979287    0.019931
       3.675   0.0841152   0.0111566
       3.825   0.0533951  0.00787866
       3.975   0.0367901  0.00761427
       4.125   0.0336145  0.00941212
       4.275   0.0147325  0.00488253
       4.425  0.00818244   0.0038249
       4.575  0.00412209  0.00252049
       4.725  0.00256516  0.00179963
       4.875  0.00145405    0.001057
       5.025 0.000631001 0.000396476
       5.175 0.000493827 0.000363964
       5.325           0           0
       5.475           0           0
       5.625           0           0
       5.775           0           0
       5.925           0           0

       0.075   0.0034321  0.00175303
       0.225   0.0159444  0.00310453
       0.375   0.0511296  0.00809514
       0.525   0.0924506   0.0148797
       0.675    0.153068   0.0134007
       0.825    0.225302   0.0277141
       0.975    0.246821   0.0316078
       1.125    0.325173   0.0242842
       1.275    0.432093   0.0383336
       1.425    0.474247   0.0358031
       1.575    0.509889   0.0428654
       1.725    0.516136   0.0358603
       1.875    0.408531   0.0262829
       2.025     0.43513   0.0285662
       2.175     0.36134   0.0202013
       2.325     0.34463   0.0155792
       2.475     0.36208   0.0517618
       2.625    0.351198   0.0543435
       2.775    0.289327   0.0308713
       2.925    0.245222   0.0278578
       3.075     0.21313   0.0193873
       3.225    0.129574   0.0194884
       3.375    0.159747   0.0178799
       3.525   0.0993519   0.0179886
       3.675   0.0803765   0.0106489
       3.825   0.0480926   0.0086939
       3.975   0.0335926  0.00749422
       4.125   0.0306975  0.00891147
       4.275   0.0132593   0.0046112
       4.425   0.0073642  0.00352885
       4.575  0.00370988  0.00230191
       4.725  0.00230864  0.00163784
       4.875  0.00130864 0.000961252
       5.025 0.000567901 0.000361815
       5.175 0.000444444 0.000330901
       5.325           0           0
       5.475           0           0
       5.625           0           0
       5.775           0           0
       5.925           0           0

       0.075  0.00312009  0.00162119
       0.225   0.0152076  0.00290842
       0.375   0.0510887  0.00735932
       0.525   0.0907912   0.0136192
       0.675    0.151201   0.0123119
       0.825    0.222868   0.0253013
       0.975     0.25101   0.0290106
       1.125    0.339001    0.025714
       1.275    0.432458   0.0348504
       1.425    0.471869   0.0326272
       1.575    0.514714   0.0392391
       1.725     0.51638   0.0326011
       1.875    0.425056   0.0286209
       2.025     0.44142   0.0266528
       2.175     0.36729   0.0192211
       2.325    0.338911   0.0151761
       2.475    0.352228   0.0479847
       2.625    0.360735   0.0502332
       2.775    0.292334    0.028211
       2.925    0.238973   0.0260168
       3.075    0.204175   0.0195839
       3.225    0.123939   0.0185134
       3.375    0.156981    0.016467
       3.525   0.0975477   0.0164435
       3.675   0.0770539    0.010186
       3.825   0.0450224  0.00842822
       3.975    0.031055   0.0072298
       4.125   0.0279068  0.00852711
       4.275   0.0120539  0.00434669
       4.425  0.00669473  0.00327093
       4.575  0.00337262   0.0021172
       4.725  0.00209877  0.00150234
       4.875  0.00118967 0.000881197
       5.025 0.000516274 0.000332585
       5.175  0.00040404 0.000303276
       5.325           0           0
       5.475           0           0
       5.625           0           0
       5.775           0           0
       5.925           0           0

       0.075  0.00292695  0.00149755
       0.225   0.0193416  0.00477212
       0.375   0.0493981  0.00693749
       0.525   0.0895319   0.0125424
       0.675    0.145947   0.0123563
       0.825    0.213585   0.0248372
       0.975    0.256219   0.0270567
       1.125     0.35126   0.0263318
       1.275    0.446384   0.0346169
       1.425    0.494419   0.0368868
