# VELOCITY:     BLOCK_POFV:
1.05 0.827646
1.19 0.718849
1.33 0.693915
1.47 0.563757
1.61 0.474868
1.75 0.367063
1.89 0.315873
2.03 0.213161
2.17 0.123545
2.31 0.071164
2.45 0.0471561
2.59 0.0400794
2.73 0.0344577
2.87 0.0162037
3.01 0.0031746
3.15 0.00178571
3.29 0.00185185
3.43 0.00112434
3.57 0.0015873
3.71 0.00238095
3.85 0
3.99 0
4.13 0

0.07 0.0103836
0.21 0.0689153
0.35 0.173545
0.49 0.392526
0.63 0.56918
0.77 0.654299
0.91 0.768915
1.05 0.828704
1.19 0.809788
1.33 0.717857
1.47 0.575529
1.61 0.491667
1.75 0.347487
1.89 0.219511
2.03 0.151323
2.17 0.136706
2.31 0.113029
2.45 0.0402778
2.59 0.0343915
2.73 0.00919312
2.87 0.00945767
3.01 0.0105159
3.15 0.00330688
3.29 0.00548942
3.43 0.000859788
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.011045
0.21 0.0926587
0.35 0.215741
0.49 0.373148
0.63 0.567923
0.77 0.694974
0.91 0.738029
1.05 0.749603
1.19 0.733201
1.33 0.688558
1.47 0.581614
1.61 0.468452
1.75 0.383201
1.89 0.282275
2.03 0.196296
2.17 0.141336
2.31 0.0966931
2.45 0.0563492
2.59 0.0311508
2.73 0.014418
2.87 0.0149471
3.01 0.00681217
3.15 0.0010582
3.29 0.00171958
3.43 0.00165344
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.00780423
0.21 0.0876323
0.35 0.240939
0.49 0.407341
0.63 0.530886
0.77 0.673148
0.91 0.75496
1.05 0.822751
1.19 0.768717
1.33 0.648942
1.47 0.567196
1.61 0.47004
1.75 0.360913
1.89 0.273214
2.03 0.19537
2.17 0.135317
2.31 0.0733466
2.45 0.0410714
2.59 0.0318783
2.73 0.0225529
2.87 0.010119
3.01 0.010582
3.15 0.00813492
3.29 0
3.43 0
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.0159392
0.21 0.0939153
0.35 0.228704
0.49 0.349405
0.63 0.511045
0.77 0.669841
0.91 0.703571
1.05 0.791204
1.19 0.747619
1.33 0.676124
1.47 0.582275
1.61 0.528902
1.75 0.386706
1.89 0.283796
2.03 0.219577
2.17 0.144907
2.31 0.0925265
2.45 0.0479497
2.59 0.0291005
2.73 0.0202381
2.87 0.0138889
3.01 0.00337302
3.15 0.00224868
3.29 0
3.43 0
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.00734127
0.21 0.0843915
0.35 0.201257
0.49 0.364418
0.63 0.513889
0.77 0.622619
0.91 0.72963
1.05 0.757804
1.19 0.872751
1.33 0.700331
1.47 0.584524
1.61 0.492725
1.75 0.382474
1.89 0.28254
2.03 0.194048
2.17 0.139815
2.31 0.0756614
2.45 0.0700397
2.59 0.0371693
2.73 0.017791
2.87 0.00588624
3.01 0.00390212
3.15 0.00185185
3.29 0
3.43 0
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.0226852
0.21 0.109127
0.35 0.235251
0.49 0.374603
0.63 0.538624
0.77 0.651257
0.91 0.728241
1.05 0.717923
1.19 0.758796
1.33 0.618452
1.47 0.577778
1.61 0.505291
1.75 0.427513
1.89 0.298611
2.03 0.216997
2.17 0.151389
2.31 0.0912698
2.45 0.0705026
2.59 0.0263228
2.73 0.0121693
2.87 0.00813492
3.01 0.00152116
3.15 0.000396825
3.29 0
3.43 0
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.00906085
0.21 0.0792989
0.35 0.189815
0.49 0.290212
0.63 0.543188
0.77 0.685053
0.91 0.783135
1.05 0.785317
1.19 0.682474
1.33 0.731085
1.47 0.624603
1.61 0.457209
1.75 0.386772
1.89 0.271429
2.03 0.211839
2.17 0.176389
2.31 0.0916005
2.45 0.0573413
2.59 0.0376323
2.73 0.0183862
2.87 0.0138889
3.01 0.00515873
3.15 0.00337302
3.29 0.00205026
3.43 0.00343915
3.57 0.00198413
3.71 0.00112434
3.85 0
3.99 0
4.13 0

0.07 0.0101852
0.21 0.0732143
0.35 0.203836
0.49 0.385648
0.63 0.587302
0.77 0.68578
0.91 0.778638
1.05 0.777249
1.19 0.715212
1.33 0.648148
1.47 0.571892
1.61 0.485317
1.75 0.383532
1.89 0.276455
2.03 0.179563
2.17 0.133929
2.31 0.103836
2.45 0.0609788
2.59 0.0315476
2.73 0.0173942
2.87 0.0160053
3.01 0.00343915
3.15 0.00522487
3.29 0.00224868
3.43 0.00357143
3.57 0.00271164
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.0103175
0.21 0.0924603
0.35 0.209458
0.49 0.328836
0.63 0.484458
0.77 0.716799
0.91 0.825529
1.05 0.863294
1.19 0.753439
1.33 0.675794
1.47 0.581944
1.61 0.470569
1.75 0.357474
1.89 0.257077
2.03 0.184921
2.17 0.130225
2.31 0.0865741
2.45 0.0445767
2.59 0.0357143
2.73 0.0155423
2.87 0.00350529
3.01 0.0130291
3.15 0.00132275
3.29 0
3.43 0
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.0118386
0.21 0.0806217
0.35 0.224471
0.49 0.387632
0.63 0.545833
0.77 0.695767
0.91 0.754431
1.05 0.807804
1.19 0.75205
1.33 0.655489
1.47 0.520238
1.61 0.476124
1.75 0.375265
1.89 0.270503
2.03 0.179365
2.17 0.134921
2.31 0.0924603
2.45 0.0638889
2.59 0.0537037
2.73 0.0266534
2.87 0.016336
3.01 0.00813492
3.15 0.00257937
3.29 0.00171958
3.43 0.00376984
3.57 0.00125661
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.0156085
0.21 0.10959
0.35 0.23287
0.49 0.347619
0.63 0.549008
0.77 0.655886
0.91 0.703902
1.05 0.824802
1.19 0.783267
1.33 0.675728
1.47 0.56455
1.61 0.466865
1.75 0.388955
1.89 0.293056
2.03 0.205556
2.17 0.142262
2.31 0.0741402
2.45 0.0414683
2.59 0.0296958
2.73 0.0185185
2.87 0.00555556
3.01 0.00337302
3.15 0.00257937
3.29 0.00416667
3.43 0.00152116
3.57 0.00231481
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.0131614
0.21 0.0789021
0.35 0.205622
0.49 0.352447
0.63 0.545767
0.77 0.691931
0.91 0.803968
1.05 0.782937
