# VELOCITY:     AVE_POFV:        ERROR:
        3.71           0           0
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0119797  0.00121033
        0.21   0.0832231  0.00334947
        0.35    0.204312  0.00536932
        0.49    0.367249  0.00663547
        0.63    0.529303  0.00990136
        0.77    0.664744  0.00871819
        0.91    0.747372   0.0104869
        1.05    0.772831  0.00984845
        1.19    0.760119   0.0129593
        1.33    0.686918  0.00880791
        1.47     0.59739  0.00919269
        1.61    0.501856  0.00852834
        1.75    0.393192  0.00694199
        1.89    0.292222  0.00559794
        2.03     0.20175  0.00685045
        2.17    0.135454  0.00408611
        2.31   0.0789683  0.00415209
        2.45      0.0475  0.00212287
        2.59   0.0297619  0.00229476
        2.73   0.0174162  0.00120295
        2.87   0.0102249  0.00134288
        3.01  0.00613757   0.0009187
        3.15  0.00243386 0.000788594
        3.29 0.000498236 0.000354321
        3.43           0           0
        3.57           0           0
        3.71           0           0
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0121734  0.00115008
        0.21   0.0828869  0.00315696
        0.35    0.203811  0.00505706
        0.49    0.367237  0.00622076
        0.63    0.531816  0.00959612
        0.77    0.669688  0.00947201
        0.91    0.753869   0.0116717
        1.05    0.772197  0.00925326
        1.19    0.757283   0.0124557
        1.33    0.685801  0.00832793
        1.47    0.594932  0.00894061
        1.61     0.50136  0.00800975
        1.75    0.390203  0.00712254
        1.89    0.290435  0.00552605
        2.03    0.200583  0.00652104
        2.17    0.134317  0.00398579
        2.31   0.0796379  0.00394622
        2.45   0.0477059  0.00200015
        2.59    0.029766  0.00215134
        2.73   0.0174148  0.00112776
        2.87   0.0102761  0.00125993
        3.01  0.00648975  0.00092633
        3.15  0.00250496 0.000742505
        3.29 0.000467097 0.000333542
        3.43           0           0
        3.57           0           0
        3.71           0           0
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0118542  0.00112587
        0.21   0.0825241  0.00299203
        0.35    0.203245  0.00479122
        0.49    0.366667  0.00588093
        0.63    0.533038  0.00910904
        0.77    0.668694  0.00896691
        0.91    0.751498   0.0112235
        1.05    0.771078  0.00877635
        1.19    0.757135   0.0117239
        1.33    0.685216  0.00785856
        1.47     0.59525  0.00842033
        1.61    0.503124  0.00773041
        1.75    0.393935  0.00761855
        1.89    0.290978  0.00522762
        2.03    0.200393  0.00614022
        2.17    0.133746  0.00379207
        2.31   0.0792639  0.00373176
        2.45   0.0482571  0.00195697
        2.59   0.0304388   0.0021274
        2.73   0.0170401  0.00112195
        2.87   0.0102358  0.00118646
        3.01  0.00635699 0.000881302
        3.15  0.00245098 0.000700787
        3.29  0.00043962 0.000315051
        3.43           0           0
        3.57           0           0
        3.71           0           0
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0121693  0.00110655
        0.21   0.0822274  0.00284048
        0.35    0.204512  0.00468968
        0.49    0.367688  0.00564222
        0.63     0.53211  0.00865011
        0.77    0.670826  0.00871861
        0.91    0.750845   0.0106189
        1.05    0.766939  0.00921358
        1.19    0.756015    0.011126
        1.33    0.686791  0.00757807
        1.47    0.597902   0.0083598
        1.61    0.502348   0.0073398
        1.75    0.392883  0.00726756
        1.89    0.291031  0.00493746
        2.03    0.199092  0.00593522
        2.17     0.13341  0.00359618
        2.31   0.0788507  0.00354725
        2.45   0.0483355  0.00184983
        2.59   0.0311839  0.00213568
        2.73   0.0172546  0.00107991
        2.87   0.0104277  0.00113596
        3.01  0.00644106 0.000836342
        3.15  0.00271531 0.000709959
        3.29 0.000859788 0.000505241
        3.43           0           0
        3.57           0           0
        3.71           0           0
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0122807   0.0010539
        0.21   0.0827729  0.00274287
        0.35    0.205646  0.00457791
        0.49    0.368223  0.00537052
        0.63    0.531429  0.00822157
        0.77    0.668372  0.00859807
        0.91    0.751184   0.0100654
        1.05     0.76595  0.00878157
        1.19     0.75479   0.0106076
        1.33    0.687813  0.00724787
        1.47    0.598639  0.00795223
        1.61    0.506227  0.00791261
        1.75    0.394639  0.00709415
        1.89    0.288962  0.00509269
        2.03    0.199147  0.00562309
        2.17    0.132157  0.00361885
        2.31   0.0788673  0.00336059
        2.45   0.0484962  0.00175943
        2.59   0.0304128  0.00215797
        2.73   0.0166632  0.00117388
        2.87   0.0102618  0.00108822
        3.01  0.00643623 0.000792338
        3.15  0.00267335 0.000673832
        3.29 0.000814536 0.000480672
        3.43           0           0
        3.57           0           0
        3.71           0           0
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0123049  0.00100148
        0.21   0.0826753  0.00260746
        0.35    0.208664  0.00525039
        0.49    0.370188  0.00544993
        0.63    0.531035  0.00781993
        0.77    0.670536  0.00843595
        0.91    0.752397  0.00963505
        1.05    0.766445  0.00835646
        1.19    0.753753   0.0101278
        1.33    0.686141  0.00707579
        1.47    0.599167   0.0075721
        1.61    0.502788  0.00823072
        1.75    0.393191  0.00688568
        1.89    0.286901  0.00523834
        2.03    0.198343   0.0053991
        2.17    0.131865  0.00344965
        2.31   0.0797388  0.00330362
        2.45   0.0498413  0.00212425
        2.59   0.0303009  0.00205297
        2.73   0.0166534  0.00111522
        2.87   0.0102216  0.00103456
        3.01   0.0063922 0.000753943
        3.15  0.00253968 0.000653264
        3.29  0.00077381  0.00045836
        3.43           0           0
        3.57           0           0
        3.71           0           0
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0122795 0.000954113
        0.21   0.0846151  0.00312261
        0.35    0.209174   0.0050251
        0.49    0.371151  0.00527479
        0.63    0.528852  0.00774635
        0.77     0.66866  0.00824008
        0.91     0.75285  0.00918687
        1.05    0.769359  0.00845145
        1.19    0.752091  0.00978092
        1.33    0.686511  0.00674853
        1.47     0.59748  0.00739689
        1.61    0.501458  0.00794544
        1.75    0.391947  0.00666925
        1.89    0.288281  0.00516738
        2.03    0.199049   0.0051879
        2.17    0.131469  0.00330805
        2.31   0.0793304  0.00317144
        2.45   0.0497134  0.00202694
        2.59   0.0307666  0.00200733
        2.73   0.0175013  0.00134635
        2.87   0.0105064  0.00102376
        3.01  0.00623898 0.000733445
        3.15  0.00250378 0.000623142
        3.29 0.000825145 0.000439399
        3.43 5.35399e-05 5.22496e-05
        3.57 7.55858e-05 7.37642e-05
        3.71 0.000113379 0.000110646
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0121934 0.000914628
        0.21   0.0839015  0.00306113
        0.35    0.207555  0.00505092
        0.49    0.372123  0.00512373
        0.63    0.530685  0.00760805
        0.77    0.668007  0.00789134
        0.91     0.75358  0.00879826
        1.05    0.772057  0.00848686
        1.19    0.754714  0.00968155
        1.33    0.687936  0.00659047
        1.47    0.596483  0.00712765
        1.61    0.501013  0.00759674
        1.75    0.389926  0.00666526
        1.89    0.285155  0.00580145
        2.03     0.19688   0.0053866
        2.17    0.131707  0.00316624
        2.31   0.0808622  0.00337699
        2.45   0.0492845  0.00197966
        2.59   0.0309313  0.00192283
        2.73   0.0171236  0.00133707
        2.87   0.0104588 0.000978334
        3.01  0.00643338 0.000725413
        3.15  0.00254028 0.000595885
        3.29  0.00103716 0.000467787
        3.43 9.01876e-05 6.13961e-05
        3.57 7.21501e-05 7.04912e-05
        3.71 0.000108225 0.000105737
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0121434 0.000876223
        0.21   0.0842823  0.00295162
        0.35    0.207911  0.00484384
        0.49    0.372168  0.00490115
        0.63    0.532304  0.00744755
        0.77     0.66918  0.00763484
        0.91    0.752904  0.00844167
        1.05    0.771081  0.00817382
        1.19    0.753778  0.00930569
        1.33    0.687963  0.00630399
        1.47    0.595836  0.00684701
        1.61    0.499597  0.00739718
        1.75    0.389634  0.00638187
        1.89     0.28503  0.00555056
        2.03    0.196854  0.00515246
        2.17    0.132126  0.00305613
        2.31   0.0815505  0.00329957
        2.45   0.0495917  0.00191727
        2.59   0.0309409  0.00183926
        2.73    0.017006   0.0012841
        2.87   0.0106539 0.000955062
        3.01  0.00644985  0.00069406
        3.15  0.00247585 0.000573451
        3.29  0.00106683 0.000448388
        3.43 0.000158155 8.86992e-05
        3.57 6.90131e-05 6.74962e-05
        3.71  0.00010352 0.000101244
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0119626 0.000858164
        0.21   0.0844218  0.00283194
        0.35    0.209287  0.00483356
        0.49    0.373633  0.00491117
        0.63    0.532245  0.00713747
        0.77    0.669345  0.00731851
        0.91     0.75299  0.00809037
        1.05    0.773234  0.00811183
        1.19    0.754401  0.00893874
        1.33    0.686337  0.00624747
        1.47    0.594643   0.0066649
        1.61    0.498366  0.00719075
        1.75    0.388437  0.00622715
        1.89    0.284538  0.00534108
        2.03    0.196792  0.00493814
        2.17    0.132259  0.00293168
        2.31   0.0812087  0.00317974
        2.45   0.0492367  0.00186996
        2.59   0.0309799  0.00176304
        2.73   0.0172371  0.00125122
        2.87   0.0106316 0.000915527
        3.01  0.00662202 0.000686164
        3.15  0.00271164 0.000596067
        3.29  0.00102238 0.000431903
        3.43 0.000151565 8.52479e-05
        3.57 6.61376e-05  6.4745e-05
        3.71 9.92063e-05 9.71176e-05
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0121217 0.000838449
        0.21   0.0848016    0.002744
        0.35    0.210063   0.0047022
        0.49    0.372664   0.0048094
        0.63    0.531397  0.00690216
        0.77    0.669365   0.0070258
        0.91    0.751013   0.0080046
        1.05    0.773952  0.00781914
        1.19     0.75413  0.00858531
        1.33    0.685929  0.00601091
        1.47    0.594148  0.00641663
        1.61    0.499587   0.0070061
        1.75    0.388368  0.00597845
        1.89    0.284508  0.00512752
        2.03    0.197704  0.00482398
        2.17    0.132765  0.00285774
        2.31   0.0816614  0.00308461
        2.45   0.0491852  0.00179587
        2.59   0.0309048  0.00169412
        2.73   0.0173571  0.00120692
        2.87   0.0107619 0.000888129
        3.01  0.00649206 0.000670912
        3.15  0.00269312 0.000572512
        3.29 0.000981481 0.000416558
        3.43 0.000145503 8.20532e-05
        3.57 6.34921e-05 6.22093e-05
        3.71 9.52381e-05 9.33139e-05
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0119378 0.000826115
        0.21   0.0847858  0.00263851
        0.35    0.209725  0.00453353
        0.49    0.372347  0.00463486
        0.63    0.530723  0.00666946
        0.77    0.667567  0.00698183
        0.91    0.750191  0.00773887
        1.05    0.773331  0.00754303
        1.19    0.758692  0.00938943
        1.33    0.686482  0.00580519
        1.47    0.593778  0.00618051
        1.61    0.499323   0.0067416
        1.75    0.388141  0.00575281
        1.89    0.284432  0.00493086
        2.03    0.197563   0.0046405
        2.17    0.133036  0.00276066
        2.31   0.0814306  0.00297459
        2.45   0.0499873  0.00189749
        2.59   0.0311457    0.001646
        2.73   0.0173738  0.00116061
        2.87   0.0105744 0.000873543
        3.01  0.00639245 0.000652461
        3.15  0.00266077 0.000551406
        3.29 0.000943732 0.000402244
        3.43 0.000139906  7.9088e-05
        3.57 6.10501e-05 5.98645e-05
        3.71 9.15751e-05 8.97968e-05
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0123359 0.000886242
        0.21   0.0856873   0.0026904
        0.35     0.21067  0.00446311
        0.49     0.37243  0.00446396
        0.63    0.531016  0.00642886
        0.77    0.666963  0.00674933
        0.91    0.749378  0.00749482
        1.05    0.771279  0.00753765
        1.19    0.758696  0.00904167
        1.33    0.683963  0.00611258
        1.47    0.593185  0.00597994
        1.61    0.499544  0.00649553
        1.75    0.389599  0.00572157
        1.89    0.284957  0.00477612
        2.03    0.198283   0.0045241
        2.17    0.133715  0.00274083
        2.31    0.081795  0.00288666
        2.45   0.0507471  0.00197349
        2.59   0.0309671   0.0015947
        2.73   0.0171811  0.00113352
        2.87    0.010484  0.00084585
        3.01  0.00621203 0.000652764
        3.15  0.00257692 0.000537321
        3.29 0.000908779 0.000388861
        3.43 0.000134725 7.63283e-05
        3.57 5.87889e-05   5.769e-05
        3.71 8.81834e-05  8.6535e-05
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0122189 0.000862274
        0.21   0.0854592  0.00260397
        0.35    0.209925  0.00436542
        0.49    0.369494  0.00518106
        0.63    0.531451  0.00621394
        0.77    0.667609  0.00653913
        0.91    0.750583  0.00732347
        1.05    0.771781   0.0072851
        1.19    0.755974  0.00911935
        1.33    0.685646  0.00612156
        1.47    0.594307   0.0058707
        1.61    0.498032  0.00643712
        1.75    0.389498  0.00551812
        1.89    0.284474  0.00462992
        2.03    0.198767  0.00438836
        2.17     0.13524  0.00303725
        2.31   0.0821452  0.00280472
        2.45   0.0509826  0.00191701
        2.59   0.0312051  0.00155541
        2.73   0.0172241  0.00109386
        2.87   0.0106056 0.000824335
        3.01  0.00617441 0.000630534
        3.15  0.00260535 0.000518882
        3.29 0.000949546 0.000377104
        3.43  0.00025274 0.000137286
        3.57 0.000127551 8.74872e-05
        3.71 0.000125189 9.10136e-05
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0121488 0.000835387
        0.21   0.0850369  0.00254818
        0.35    0.209715  0.00421994
        0.49    0.370051  0.00503226
        0.63    0.533377  0.00629103
        0.77    0.668236   0.0063436
        0.91    0.751551  0.00713455
